OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,FACILITYID,LOCDESC,OBJECTID_hydstra,station
76,76,29,5172.777979,76,{AAC8234A-5800-4230-971C-633C406E3E23},J03-9368-1 (J03TBN1),J03TBN1,29,SULPHURCREEK
77,77,29,5947.901478,77,{7D7B2ED7-032E-4780-A89E-EDBB935D394F},J03-9215-4,,29,SULPHURCREEK
78,78,29,5950.577977,78,{096C0676-4771-492B-BAA6-AA39CD7F88A8},J03-9215-3,,29,SULPHURCREEK
79,79,29,6846.108871,79,{58BF1710-6532-44A0-A4C2-487B6E14647C},J03-9215-1,,29,SULPHURCREEK
80,80,29,6277.543014,80,{29B4BF4A-4370-4BED-A06E-EFC37B140413},J03-9215-2,,29,SULPHURCREEK
81,81,29,4896.83276,81,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},J03-9368-2 (J03TBN2),J03TBN2,29,SULPHURCREEK
82,82,29,11221.73632,82,{4B2C9487-5D2A-4621-84C2-0379A8F697D5},J01-9096-1,,29,SULPHURCREEK
83,83,29,12604.19171,83,{E4A45859-C01A-4CBC-8954-294275402A42},J05-9255-1 (J05P01),J05P01,29,SULPHURCREEK
84,84,24,30645.78541,84,{F83925F7-70B4-4C25-8F17-86AD7D1BE492},SC01-077-2,Calle Alicia - Cotton’s Point,24,PALISADES
85,85,24,28893.72346,85,{8214846F-F581-46C0-852B-22F6222E000C},SC01-077-1,Calle Ariana,24,PALISADES
86,86,24,27543.23802,86,{94C5A15C-BF87-4C07-B590-BE8EF1F95917},SC02-072-2,Vista Blanca,24,PALISADES
87,87,24,27533.79037,87,{3845A93C-1CCD-46A3-A69D-7CC8589F4852},SC02-072-3,Vista Blanca,24,PALISADES
88,88,24,25014.06023,88,{9F0C26C8-D63A-4809-AD72-C714A780C1C6},SC03-067-1,Califa,24,PALISADES
89,89,29,12187.77615,89,{6C557F4D-24D0-4AC7-9549-68AEDF86E4E7},J01-9313-1,,29,SULPHURCREEK
90,90,29,16635.30651,90,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},J01-9082-2,Wood Canyon Wetland - Canyonview Park,29,SULPHURCREEK
91,91,30,14867.82052,91,{CBF398B2-1C6E-4D20-861C-10151FBA8193},F19-8403-2,LFDIM@LFD,30,ELTORO
92,92,30,13242.95016,92,{8FA22EEC-1302-4667-B5FD-B0FD39192E45},F19-7783-1,,30,ELTORO
93,93,30,17660.23951,93,{55993B4B-13BA-4C12-99B8-63C734C555BC},F19-7130-1,LFF19P07@RP,30,ELTORO
