"","Inst Time","Flow (cfs)"
"234","5/20/2023 0:00","13.3"
"235","5/21/2023 0:00","9.19"
"236","5/22/2023 0:00","9.48"
"237","5/23/2023 0:00","14"
"238","5/24/2023 0:00","12"
"239","5/25/2023 0:00","8.95"
"240","5/26/2023 0:00","9.28"
"241","5/27/2023 0:00","8.19"
"242","5/28/2023 0:00","9.65"
"243","5/29/2023 0:00","11.7"
"244","5/30/2023 0:00","11.5"
"245","5/31/2023 0:00","9.31"
"246","6/1/2023 0:00","7.87"
"247","6/2/2023 0:00","7.69"
"248","6/3/2023 0:00","9.06"
"249","6/4/2023 0:00","7.1"
"250","6/5/2023 0:00","9.55"
"251","6/6/2023 0:00","10.1"
"252","6/7/2023 0:00","9.42"
"253","6/8/2023 0:00","10.6"
"254","6/9/2023 0:00","9.45"
"255","6/10/2023 0:00","8.86"
"256","6/11/2023 0:00","8.31"
"257","6/12/2023 0:00","8.25"
"258","6/13/2023 0:00","8.32"
"259","6/14/2023 0:00","9.05"
"260","6/15/2023 0:00","8.86"
"261","6/16/2023 0:00","7.14"
"262","6/17/2023 0:00","7.07"
"263","6/18/2023 0:00","9.55"
"264","6/19/2023 0:00","11.1"
"265","6/20/2023 0:00","9.67"
"266","6/21/2023 0:00","13.5"
"267","6/22/2023 0:00","14"
"268","6/23/2023 0:00","13.8"
"269","6/24/2023 0:00","14.9"
"270","6/25/2023 0:00","11.6"
"271","6/26/2023 0:00","14.9"
"272","6/27/2023 0:00","11.3"
"273","6/28/2023 0:00","12.3"
"274","6/29/2023 0:00","11.1"
"275","6/30/2023 0:00","9.94"
"276","7/1/2023 0:00","9.17"
"277","7/2/2023 0:00","10.4"
"278","7/3/2023 0:00","12.6"
"279","7/4/2023 0:00","14.4"
"280","7/5/2023 0:00","13.7"
"281","7/6/2023 0:00","13.7"
"282","7/7/2023 0:00","12.3"
"283","7/8/2023 0:00","11.4"
"284","7/9/2023 0:00","13.2"
"285","7/10/2023 0:00","12.7"
"286","7/11/2023 0:00","12.1"
"287","7/12/2023 0:00","12.2"
"288","7/13/2023 0:00","12.7"
"289","7/14/2023 0:00","14.5"
"290","7/15/2023 0:00","13.9"
"291","7/16/2023 0:00","13.4"
"292","7/17/2023 0:00","12"
"293","7/18/2023 0:00","12.9"
"294","7/19/2023 0:00","13.8"
"295","7/20/2023 0:00","15.2"
"296","7/21/2023 0:00","15.8"
"297","7/22/2023 0:00","13.4"
"298","7/23/2023 0:00","17"
"299","7/24/2023 0:00","13.5"
"300","7/25/2023 0:00","12.4"
"301","7/26/2023 0:00","13.1"
"302","7/27/2023 0:00","16.6"
"303","7/28/2023 0:00","17.1"
"304","7/29/2023 0:00","15.6"
"305","7/30/2023 0:00","12.8"
"306","7/31/2023 0:00","12.3"
"307","8/1/2023 0:00","11.8"
"308","8/2/2023 0:00","14.3"
"309","8/3/2023 0:00","17.1"
"310","8/4/2023 0:00","16.9"
"311","8/5/2023 0:00","14.1"
"312","8/6/2023 0:00","15.8"
"313","8/7/2023 0:00","16.4"
"314","8/8/2023 0:00","15.2"
"315","8/9/2023 0:00","12.4"
"316","8/10/2023 0:00","13.2"
"317","8/11/2023 0:00","12.3"
"318","8/12/2023 0:00","14.2"
"319","8/13/2023 0:00","12"
"320","8/14/2023 0:00","11"
"321","8/15/2023 0:00","10.5"
"322","8/16/2023 0:00","11.9"
"323","8/17/2023 0:00","13.3"
"324","8/18/2023 0:00","14.8"
"325","8/19/2023 0:00","15.5"
"326","8/20/2023 0:00","55.9"
"327","8/21/2023 0:00","29.3"
"328","8/22/2023 0:00","12"
"329","8/23/2023 0:00","11.2"
"330","8/24/2023 0:00","13.9"
"331","8/25/2023 0:00","16.1"
"332","8/26/2023 0:00","15.9"
"333","8/27/2023 0:00","15.6"
"334","8/28/2023 0:00","15.6"
"335","8/29/2023 0:00","16.4"
"336","8/30/2023 0:00","17.9"
"337","8/31/2023 0:00","14.9"
"338","9/1/2023 0:00","15.9"
"339","9/2/2023 0:00","17"
"340","9/3/2023 0:00","12.2"
"341","9/4/2023 0:00","14.4"
"342","9/5/2023 0:00","17.2"
"343","9/6/2023 0:00","11.6"
"344","9/7/2023 0:00","13.5"
"345","9/8/2023 0:00","13"
"346","9/9/2023 0:00","11.8"
"347","9/10/2023 0:00","15"
"348","9/11/2023 0:00","16"
"349","9/12/2023 0:00","13.2"
"350","9/13/2023 0:00","14"
"351","9/14/2023 0:00","14.3"
"352","9/15/2023 0:00","14.4"
"353","9/16/2023 0:00","14.5"
"354","9/17/2023 0:00","13.3"
"355","9/18/2023 0:00","8.9"
"356","9/19/2023 0:00","11.7"
"357","9/20/2023 0:00","10.7"
"358","9/21/2023 0:00","13.8"
"359","9/22/2023 0:00","15"
"360","9/23/2023 0:00","13.1"
"361","9/24/2023 0:00","12.9"
"362","9/25/2023 0:00","15.3"
"363","9/26/2023 0:00","16.4"
"364","9/27/2023 0:00","15.2"
"365","9/28/2023 0:00","11.5"
"366","9/29/2023 0:00","12.3"
"367","9/30/2023 0:00","11.7"
"368","10/1/2023 0:00","14.9"
