FacilityID,Jurisdiction,ObsRecordDate,ObsWeather,AvgDischarge,FlowCondition,PersistentFlow,FlowConnectivity,Priority,PrioritizationScore2022,Conductivity,Inspected,FloatDischargeCFS,VolumeDischargeCFS,SampleDry,PointY,PointX
M00.1-071-2 (M00S04),San Clemente,2023-05-24T00:00:00Z,1,0.072122,Flowing,Unknown,Undetermined,Not A Priority,NA,9000,Verified,NA,NA,NA,33.40925249,-117.60863786
M00.1-071-2 (M00S04),San Clemente,2023-08-03T00:00:00Z,1,0.072122,Pooled or Ponded,Unknown,Undetermined,Not A Priority,NA,14100,Verified,NA,NA,NA,33.40925249,-117.60863786
L02-640-1 (L11P02),Rancho Santa Margarita,2023-08-10T00:00:00Z,1,0.163333,Other - See Comments,Unknown,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.61878658,-117.60923769
L02-640-1 (L11P02),Rancho Santa Margarita,2023-06-13T00:00:00Z,1,0.163333,Flowing,Unknown,Direct Connection,Not A Priority,NA,1062,Verified,NA,NA,NA,33.61878658,-117.60923769
J01-9275-2,Lake Forest,2023-07-27T00:00:00Z,1,0.0018,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.65086633,-117.66064651
J01-9275-2,Lake Forest,2023-08-29T00:00:00Z,1,0.0018,Flowing,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,1278,Verified,0.0216,NA,NA,33.65086633,-117.66064651
J01-9005-3,Laguna Niguel,2023-06-29T00:00:00Z,1,0.303774,Pooled or Ponded,Yes,NA,Priority,52,NA,Verified,NA,NA,NA,33.5461744,-117.70304417
J01-9005-3,Laguna Niguel,2023-08-28T00:00:00Z,1,0.303774,Flowing,Yes,Partial - Significant Distance,Priority,52,2130,Verified,NA,NA,NA,33.5461744,-117.70304417
J03-9234-8,Laguna Niguel,2023-06-28T00:00:00Z,1,0.344732,Flowing,Yes,Undetermined,NA,NA,5300,Verified,0.872727,NA,NA,33.51992,-117.715433
J03-9234-8,Laguna Niguel,2023-08-30T00:00:00Z,1,0.344732,Flowing,Yes,NA,NA,NA,2202,Verified,0.075506,NA,NA,33.51992,-117.715433
J01-9005-4,Laguna Niguel,2023-04-26T00:00:00Z,1,0.011,Pooled or Ponded,Unknown,NA,Not A Priority,NA,NA,Removed From Inventory,NA,NA,NA,33.54612461,-117.70305322
L01-494-1,Orange Co,2023-06-19T00:00:00Z,1,0.095255,Flowing,Yes,NA,NA,NA,2034,Verified,NA,0.054,NA,33.52846755,-117.60762675
L01-494-1,Orange Co,2023-05-30T00:00:00Z,1,0.095255,Flowing,Yes,Unsafe to Access,NA,NA,NA,Verified,NA,NA,NA,33.52846755,-117.60762675
L01-494-1,Orange Co,2023-08-14T00:00:00Z,1,0.095255,Flowing,Yes,Undetermined,NA,NA,2246,Verified,NA,NA,NA,33.52846755,-117.60762675
L01-724-1 (L01S01),San Juan Capistrano,2023-06-08T00:00:00Z,1,0.093346,Flowing,Yes,Direct Connection,Priority,36,7415,Verified,0.200769,NA,Yes,33.48318609,-117.67706262
L01-724-1 (L01S01),San Juan Capistrano,2023-08-16T00:00:00Z,1,0.093346,Flowing,Yes,Direct Connection,Priority,36,5677,Verified,0.129524,NA,Yes,33.48318609,-117.67706262
I01-11059-2,Laguna Beach,2023-09-20T00:00:00Z,1,0,Dry,Unknown,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.5535769,-117.7754408
I01-11059-2,Laguna Beach,2023-07-07T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.5535769,-117.7754408
L01-766-9,San Juan Capistrano,2023-06-08T00:00:00Z,1,0.173904,Pooled or Ponded,Yes,Undetermined,Priority,48,NA,Verified,NA,NA,Yes,33.496535,-117.655642
L01-766-9,San Juan Capistrano,2023-08-16T00:00:00Z,1,0.173904,NA,Yes,NA,Priority,48,NA,Verified,NA,NA,Yes,33.496535,-117.655642
L05-489-4,Orange Co,2023-06-27T00:00:00Z,1,0.205885,Flowing,Yes,Direct Connection,Priority,36,6317,Verified,0.757026,NA,NA,33.5293593,-117.64607265
L05-489-4,Orange Co,2023-08-16T00:00:00Z,1,0.205885,Flowing,Yes,Direct Connection,Priority,36,7040,Verified,0.18565,NA,NA,33.5293593,-117.64607265
L01-726-9,San Juan Capistrano,2023-08-08T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47841897,-117.67810532
L01-726-9,San Juan Capistrano,2023-06-06T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47841897,-117.67810532
L01-726-8,San Juan Capistrano,2023-06-06T00:00:00Z,1,4.8e-4,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.47849535,-117.67868366
L01-726-8,San Juan Capistrano,2023-08-08T00:00:00Z,1,4.8e-4,Flowing,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,8960,Verified,NA,NA,NA,33.47849535,-117.67868366
LC03-11515-1,Laguna Beach,2023-07-18T00:00:00Z,1,0.016796,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,Verified,NA,NA,NA,33.519603,-117.762756
LC03-11515-1,Laguna Beach,2023-02-09T00:00:00Z,1,0.016796,Flowing,Unknown,NA,NA,NA,6609,Verified,0.036,NA,NA,33.519603,-117.762756
LC03-11515-1,Laguna Beach,2023-07-06T00:00:00Z,1,0.016796,Flowing,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,4034,Verified,0.039732,NA,NA,33.519603,-117.762756
J01-9008-1 (J01P30),Aliso Viejo,2023-09-27T00:00:00Z,1,0.05744,Flowing,Yes,Direct Connection,Priority,62,4427,Verified,0.082143,0.031,NA,33.576771720000004,-117.71330932
J01-9008-1 (J01P30),Aliso Viejo,2023-07-19T00:00:00Z,1,0.05744,Flowing,Yes,Direct Connection,Priority,62,5524,Verified,0.091071,0.028,NA,33.576771720000004,-117.71330932
I01-11195-2,Aliso Viejo,2023-07-12T00:00:00Z,1,0.325428,Flowing,Yes,Undetermined,Priority,55,3295,Verified,0.347712,0.08,NA,33.58990998,-117.75157922
I01-11195-2,Aliso Viejo,2023-02-09T00:00:00Z,1,0.325428,Flowing,Yes,Direct Connection,Priority,55,3349,Verified,0.5175,NA,NA,33.58990998,-117.75157922
J01-9264-1 (J01P06),Lake Forest,2023-04-25T00:00:00Z,1,0,Pooled or Ponded,Yes,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.66346514,-117.65406845
J01-9264-1 (J01P06),Lake Forest,2023-08-29T00:00:00Z,1,0,Pooled or Ponded,Yes,Partial - Significant Distance,Not A Priority,NA,NA,Verified,NA,NA,NA,33.66346514,-117.65406845
J01-9264-1 (J01P06),Lake Forest,2023-05-16T00:00:00Z,1,0,Pooled or Ponded,Yes,Direct Connection,Not A Priority,NA,NA,Verified,NA,0.034,NA,33.66346514,-117.65406845
M01-088-1,San Clemente,2022-11-05T00:00:00Z,1,0.082403,Flowing,Yes,NA,Not A Priority,NA,5600,Verified,0.021574,NA,NA,33.46997683,-117.63706581
I01-11503-3,Aliso Viejo,2023-09-26T00:00:00Z,1,0,Pooled or Ponded,Yes,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.5934822,-117.74931874
I01-11503-3,Aliso Viejo,2023-07-20T00:00:00Z,1,0,Pooled or Ponded,Yes,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.5934822,-117.74931874
L02-571-5 (L02TBN2),San Juan Capistrano,2023-08-08T00:00:00Z,1,0,Flowing,Yes,Direct Connection,Not A Priority,NA,36100,Verified,NA,NA,NA,33.49772412,-117.6660482
L02-571-5 (L02TBN2),San Juan Capistrano,2023-06-06T00:00:00Z,1,0,Pooled or Ponded,Yes,Partial - Significant Distance,Not A Priority,NA,NA,Verified,NA,NA,NA,33.49772412,-117.6660482
J01-9031-1,Lake Forest,2023-08-29T00:00:00Z,1,0.037166,Pooled or Ponded,Unknown,Direct Connection,Priority,50,NA,Verified,NA,NA,Yes,33.67284809,-117.63885049
J01-9031-1,Lake Forest,2023-05-16T00:00:00Z,1,0.037166,Pooled or Ponded,Unknown,Undetermined,Priority,50,NA,Verified,NA,NA,Yes,33.67284809,-117.63885049
SC06-146-1 (M00P02),San Clemente,2023-08-02T00:00:00Z,1,0.003017,Pooled or Ponded,Yes,NA,Not A Priority,NA,NA,Verified,NA,NA,NA,33.41717441,-117.61777962
SC06-146-1 (M00P02),San Clemente,2023-05-24T00:00:00Z,1,0.003017,NA,Yes,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.41717441,-117.61777962
L01-414-3,Orange Co,2023-08-17T00:00:00Z,1,0.232035,Pooled or Ponded,Yes,Partial - Significant Distance,Priority,60,NA,Verified,NA,NA,NA,33.56680442,-117.59243774
L01-414-3,Orange Co,2023-06-13T00:00:00Z,1,0.232035,Pooled or Ponded,Yes,Direct Connection,Priority,60,NA,Verified,NA,NA,NA,33.56680442,-117.59243774
L03-142-1 (L03P24),Rancho Santa Margarita,2023-06-12T00:00:00Z,1,0.018174,Other - See Comments,Unknown,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.66841886,-117.62080476
L03-142-1 (L03P24),Rancho Santa Margarita,2023-08-10T00:00:00Z,1,0.018174,Other - See Comments,Unknown,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.66841886,-117.62080476
J01-9033-1,Lake Forest,2023-07-13T00:00:00Z,1,0.007282,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,3130,Verified,0.019512,0.013,NA,33.67101354,-117.62627934
J01-9033-1,Lake Forest,2023-09-25T00:00:00Z,1,0.007282,Flowing,Yes,Undetermined,Not A Priority,NA,1975,Verified,0.025,0.002,NA,33.67101354,-117.62627934
SC01-077-1,San Clemente,2023-08-04T00:00:00Z,1,0.057989,Flowing,Yes,Partial - Significant Distance,Not A Priority,NA,2800,Verified,0.153,NA,NA,33.39614784,-117.59987536
SC01-077-1,San Clemente,2023-05-24T00:00:00Z,1,0.057989,Flowing,Yes,Direct Connection,Not A Priority,NA,2590,Verified,0.007,NA,NA,33.39614784,-117.59987536
L02-541-2,San Juan Capistrano,2023-06-06T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.49815467,-117.665789
L02-541-2,San Juan Capistrano,2023-08-08T00:00:00Z,1,0,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,NA,NA,Verified,NA,NA,NA,33.49815467,-117.665789
L02-502-1,San Juan Capistrano,2023-06-29T00:00:00Z,1,0.026428,Pooled or Ponded,Unknown,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.52458357,-117.66836589
L02-502-1,San Juan Capistrano,2023-08-31T00:00:00Z,1,0.026428,Pooled or Ponded,Unknown,Unsafe to Access,Not A Priority,NA,NA,Verified,NA,NA,NA,33.52458357,-117.66836589
L03-418-1,Laguna Niguel,2023-08-31T00:00:00Z,1,0.063426,Flowing,Yes,Direct Connection,Priority,50,3400,Verified,0.019409,NA,NA,33.54734682,-117.6744682
L03-418-1,Laguna Niguel,2023-06-29T00:00:00Z,1,0.063426,Flowing,Yes,Direct Connection,Priority,50,3910,Verified,NA,0.004,NA,33.54734682,-117.6744682
L03-708-5,Laguna Niguel,2023-09-01T00:00:00Z,1,0.006287,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Priority,43,NA,Verified,NA,NA,NA,33.56113153,-117.67655992
L03-708-5,Laguna Niguel,2023-06-27T00:00:00Z,1,0.006287,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,Priority,43,NA,Verified,NA,NA,NA,33.56113153,-117.67655992
L04-702-1 (L04P02),Mission Viejo,2023-06-28T00:00:00Z,1,0.019946,Pooled or Ponded,Yes,Undetermined,Priority,43,NA,Verified,NA,NA,NA,33.58054037,-117.67326838
L04-702-1 (L04P02),Mission Viejo,2023-09-26T00:00:00Z,1,0.019946,Pooled or Ponded,Yes,Direct Connection,Priority,43,0,Verified,NA,NA,NA,33.58054037,-117.67326838
