Facility.Identifier,avgCnx,PERSISTENTFLOW
M01-168-2d (M00P03),0.385,Unknown
M02-013-1,0.77,Yes
M02-015-1,0,Yes
M02-028-2 (M02P08),0.385,Yes
M02-032-1,1,Yes
M02-052-2,1,Yes
M02-052-3,1,Yes
M02-052-4,1,Yes
M02-061-4 (SCBS@M02),0.885,Yes
M02-061-5,0,Unknown
M02-061-6,0.885,Yes
M02-061-7,0.77,Yes
M02-085-1 (M02P06),1,Yes
M02-085-2,1,Yes
M02-086-1,0.77,Unknown
M02-102-1,0,Yes
M02-142-1,0.385,Unknown
SC01-077-1,0.75,Yes
SC01-077-2,0.77,Unknown
SC02-072-1,0.77,Unknown
SC02-072-4,0.77,Unknown
SC03-067-1,0,Unknown
SC05-073-1,0.385,Unknown
SC05-073-3,0.77,Unknown
SC06-146-1 (M00P02),0.77,Yes
SC06-146-2 (M00P02),0,Unknown
SC07-079-4,1,Yes
SC07-079-5,0.885,Unknown
SC09-081-2d,1,Unknown
SC10-075-1 (M00P05),1,Yes
SC10-075-3 (M00S01),1,Yes
SC11-026-1 (M00P01),0.635,Unknown
SC11-035-1d,0.77,Unknown
SC11-035-2d,0.385,Unknown
SC11-035-3d,0.385,Unknown
SC11-130-2,0.385,Unknown
SC12-068-2,0,Unknown
SC12-068-4,0.385,Unknown
SM01-086-1 (M03P01),0.885,Yes
SM01-086-2,0.77,Unknown
