JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ORANGE CO,40026133.00551573,Total,Trichloronate,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,Trichloronate,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,"Arsenic, Total",4.516964285714286,ug/L,180796613.28116438,11.286754481913428
ORANGE CO,40026133.00551573,Dissolved,"Arsenic, Total",4.516964285714286,ug/L,180796613.28116438,11.286754481913428
ORANGE CO,40026133.00551573,Total,"Cadmium, Total",4.693958333333333,ug/L,187881000.57234892,11.72901796550003
ORANGE CO,40026133.00551573,Dissolved,"Cadmium, Total",4.693958333333333,ug/L,187881000.57234892,11.72901796550003
ORANGE CO,40026133.00551573,Total,"Calcium, Total",105.9654761904762,ug/L,4241388243.9928107,264.78099840274
ORANGE CO,40026133.00551573,Dissolved,"Calcium, Total",105.9654761904762,ug/L,4241388243.9928107,264.78099840274
ORANGE CO,40026133.00551573,Total,Chromium 6+,0.25353535353535356,ug/L,10148039.782206515,0.6335209018342155
ORANGE CO,40026133.00551573,Dissolved,Chromium 6+,0.25353535353535356,ug/L,10148039.782206515,0.6335209018342155
ORANGE CO,40026133.00551573,Total,"Chromium, Total",0.8833333333333333,ug/L,35356417.48820556,2.2072272057929134
ORANGE CO,40026133.00551573,Dissolved,"Chromium, Total",0.8833333333333333,ug/L,35356417.48820556,2.2072272057929134
ORANGE CO,40026133.00551573,Total,"Copper, Total",6.261904761904762,ug/L,250639832.86787233,15.646920623275912
ORANGE CO,40026133.00551573,Dissolved,"Copper, Total",6.261904761904762,ug/L,250639832.86787233,15.646920623275912
ORANGE CO,40026133.00551573,Total,Dissolved Organic Carbon,3.2839285714285715,ug/L,131442961.78061327,8.205709228005057
ORANGE CO,40026133.00551573,Dissolved,Dissolved Organic Carbon,3.2839285714285715,ug/L,131442961.78061327,8.205709228005057
ORANGE CO,40026133.00551573,Total,"Hardness as CaCO3, Total",474.29761904761904,ug/L,18984299584.199432,1185.150122722311
ORANGE CO,40026133.00551573,Dissolved,"Hardness as CaCO3, Total",474.29761904761904,ug/L,18984299584.199432,1185.150122722311
