FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall
M02-032-1,SAN CLEMENTE,NA,0.245958,0.20817184999999996,0.16971102,0.20817184999999996,17986.04784,NA,NA,NA,NA,NA,17986.04784
K01-12036-5,LAGUNA NIGUEL,0.007,0.054304,0.06816095999999999,0.03746976,0.06816095999999999,5889.106943999999,NA,0.06728022225347222,NA,5813.011202699999,5851.059073349999,5851.059073349999
L02-204-1 (L02P45),RANCHO SANTA MARGARITA,0.0036,0.021742,0.002,0.01500198,0.002,172.79999999999998,NA,NA,NA,NA,NA,172.79999999999998
L01-766-3,SAN JUAN CAPISTRANO,0.0035,0.00798,0.001,0.005506199999999999,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999
L02-502-5,SAN JUAN CAPISTRANO,0.004,0,0.002,0,0.002,172.79999999999998,NA,NA,NA,NA,NA,172.79999999999998
L05-049-1,ORANGE CO,0.11275,0.996847,0.11353333333333333,0.6878244299999999,0.11353333333333333,9809.28,NA,0.05849384035078685,NA,5053.867806307983,7431.573903153992,7431.573903153992
M01-099-1,SAN CLEMENTE,0.0055,0.028528,0.0026282099999999997,0.019684319999999998,0.0026282099999999997,227.07734399999998,NA,NA,NA,NA,NA,227.07734399999998
M02-052-4,SAN CLEMENTE,0.004333333333333333,0.041791,0.00919977,0.02883579,0.00919977,794.860128,NA,NA,NA,NA,NA,794.860128
L01-760-1,ORANGE CO,0.004,0.019203,0.023685664999999995,0.01325007,0.023685664999999995,2046.4414559999993,NA,0.019652279458333335,NA,1697.9569452,1872.1992005999996,1872.1992005999996
L02-374-1 (L02P50),ORANGE CO,0.06166666666666667,0.197378,0.09232750857142857,0.13619082,0.09232750857142857,7977.096740571429,NA,0.07012847222222222,NA,6059.1,7018.098370285715,7018.098370285715
M01-038-6,SAN CLEMENTE,0.0015,0.013791,0.001,0.00951579,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999
L01-218-2,RANCHO SANTA MARGARITA,0.0015,0.020075,0.0044776,0.013851749999999998,0.0044776,386.86464,NA,NA,NA,NA,NA,386.86464
K01-12138-1 (K01TBN1),LAGUNA NIGUEL,0.0025,0.063607,0.14465504999999998,0.04388883,0.14465504999999998,12498.19632,NA,0.003953206753253942,NA,341.55706348114063,6419.87669174057,6419.87669174057
L01-494-1,ORANGE CO,0.038,0.095255,0.054,0.06572595,0.054,4665.5999999999995,NA,NA,NA,NA,NA,4665.5999999999995
L03-455-7,LAGUNA NIGUEL,0.004,0.052896,0.01019789,0.036498239999999994,0.01019789,881.097696,NA,0.02795114971216852,NA,2414.97933513136,1648.03851556568,1648.03851556568
L01-340-1,ORANGE CO,0.016333333333333335,0.051357,0.017110069999999998,0.035436329999999995,0.017110069999999998,1478.310048,NA,0.012154513888888888,NA,1050.15,1264.230024,1264.230024
J01-9046-2,LAKE FOREST,1.25e-4,0.099449,5e-4,0.06861980999999999,5e-4,43.199999999999996,0.002,NA,172.79999999999998,NA,NA,172.79999999999998
J01-10019-1 (J01P33),ALISO VIEJO,0.001142857142857143,0.007265,NA,0.005012849999999999,0.001142857142857143,98.74285714285716,NA,NA,NA,NA,NA,98.74285714285716
L01-335-1,ORANGE CO,0.0025,0.013073,0.01278777,0.00902037,0.01278777,1104.863328,NA,NA,NA,NA,NA,1104.863328
K01-12058-2 (K01P09),LAGUNA NIGUEL,0.0461,0.12576,0.073585686,0.0867744,0.073585686,6357.8032704,NA,NA,NA,NA,NA,6357.8032704
J01-9144-4 (J01P26),ALISO VIEJO,8.571428571428572e-4,0.003827,0,0.0026406299999999997,0,0,NA,NA,NA,NA,NA,0
L01-618-5 (L01S09),SAN JUAN CAPISTRANO,NA,0.180631,0.6831641699999998,0.12463539,0.6831641699999998,59025.38428799999,NA,NA,NA,NA,NA,59025.38428799999
L03-214-2 (L03P18),MISSION VIEJO,0.17025,0.596516,0.44837974333333336,0.41159604,0.44837974333333336,38740.009824,NA,0.4154220571388889,NA,35892.465736800004,37316.2377804,37316.2377804
J07-9109-4 (J07P02),MISSION VIEJO,0.014307692307692308,0.186781,0.043604076,0.12887889,0.043604076,3767.3921664,0.004,NA,345.59999999999997,NA,NA,345.59999999999997
L03-662-1,MISSION VIEJO,0.006,0.022101,0.006,0.015249689999999998,0.006,518.4,NA,NA,NA,NA,NA,518.4
K01-12177-1 (K01P07),LAGUNA NIGUEL,0.0644,0.254271,0.086,0.17544699,0.086,7430.4,NA,0.35064829731423613,NA,30296.012887950004,18863.206443975003,18863.206443975003
M02-052-3,SAN CLEMENTE,0.002,0.100222,0.01993341,0.06915318,0.01993341,1722.246624,NA,0.1455037037037037,NA,12571.519999999999,7146.883311999999,7146.883311999999
