FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE,area_acres,JURISDICTI
J07-9109-4 (J07P02),MISSION VIEJO,389.8921068,389.8902683,98.72486798,394.92574829,MISSION VIEJO
J07-9110-1,LAKE FOREST,0.645792876,0.200030675,0.19588078,102.11849185,MISSION VIEJO
J07-9110-1,MISSION VIEJO,101.9190319,101.9185513,99.80411911,102.11849185,MISSION VIEJO
J07-9110-2,MISSION VIEJO,133.3916332,133.3910042,100,133.39088631,MISSION VIEJO
J07-9110-3,MISSION VIEJO,61.68033046,61.68003961,100,61.67998508,MISSION VIEJO
K01-12032-2 (K01P11),LAGUNA NIGUEL,126.8494862,126.8473621,100,126.84724993,LAGUNA NIGUEL
K01-12036-1,LAGUNA NIGUEL,137.8077479,137.8054403,100,137.80531846,LAGUNA NIGUEL
K01-12036-10,LAGUNA NIGUEL,185.3749187,185.3718146,100,185.37165068,LAGUNA NIGUEL
K01-12036-5,LAGUNA NIGUEL,28.076756,28.07628585,100,28.07626103,LAGUNA NIGUEL
K01-12058-1 (K01P08),LAGUNA NIGUEL,322.1929942,322.187599,97.77433651,329.52135056,LAGUNA NIGUEL
K01-12058-1 (K01P08),SAN JUAN CAPISTRANO,7.334047756,7.334042507,2.225663378,329.52135056,LAGUNA NIGUEL
K01-12058-2 (K01P09),LAGUNA NIGUEL,294.0486386,294.0437147,97.02723437,303.05249515,LAGUNA NIGUEL
K01-12058-2 (K01P09),SAN JUAN CAPISTRANO,9.00905504,9.009048593,2.9727657,303.05249515,LAGUNA NIGUEL
K01-12062-1,LAGUNA NIGUEL,249.8365197,249.8323362,96.51947141,258.84115572,LAGUNA NIGUEL
K01-12062-1,SAN JUAN CAPISTRANO,9.00905504,9.009048593,3.480528667,258.84115572,LAGUNA NIGUEL
K01-12126-1 (K01S01),DANA POINT,240.5645176,240.5448387,27.17243026,885.25252888,DANA POINT
K01-12126-1 (K01S01),LAGUNA NIGUEL,644.7192687,644.7084728,72.82756974,885.25252888,DANA POINT
K01-12138-1 (K01TBN1),LAGUNA NIGUEL,90.8337827,90.83226167,100,90.83218137,LAGUNA NIGUEL
K01-12155-1,LAGUNA NIGUEL,63.75921047,63.75814281,100,63.75808645,LAGUNA NIGUEL
K01-12155-5,LAGUNA NIGUEL,147.0481425,147.0456802,100,147.04555016,LAGUNA NIGUEL
K01-12156-1,LAGUNA NIGUEL,88.38940682,88.38792673,100,88.38784859,LAGUNA NIGUEL
K01-12156-3,LAGUNA NIGUEL,130.1230336,130.1208546,100,130.12073959,LAGUNA NIGUEL
K01-12177-1 (K01P07),LAGUNA NIGUEL,512.4400826,512.4315018,100,512.43104875,LAGUNA NIGUEL
L01-125-1,ORANGE CO,105.2704143,61.93976207,17.10683645,362.07575558,RANCHO SANTA MARGARITA
L01-125-1,RANCHO SANTA MARGARITA,300.1362993,300.136314,82.89316367,362.07575558,RANCHO SANTA MARGARITA
L01-125-2,ORANGE CO,99.98944818,58.83250935,51.93979406,113.27048633,RANCHO SANTA MARGARITA
L01-125-2,RANCHO SANTA MARGARITA,54.43807367,54.43807633,48.06020524,113.27048633,RANCHO SANTA MARGARITA
L01-125-3,ORANGE CO,1.253339917,0.737449138,1.064651459,69.26665813,RANCHO SANTA MARGARITA
L01-125-3,RANCHO SANTA MARGARITA,68.52926799,68.52927134,98.93535016,69.26665813,RANCHO SANTA MARGARITA
L01-218-1,ORANGE CO,1.797130392,1.057408482,1.588868781,66.55096754,RANCHO SANTA MARGARITA
L01-218-1,RANCHO SANTA MARGARITA,65.49361383,65.49361704,98.41112993,66.55096754,RANCHO SANTA MARGARITA
L01-218-2,RANCHO SANTA MARGARITA,32.56315006,32.56315165,100,32.56312287,RANCHO SANTA MARGARITA
L01-218-3,RANCHO SANTA MARGARITA,58.59511326,58.59511613,100,58.59506433,RANCHO SANTA MARGARITA
L01-218-4,RANCHO SANTA MARGARITA,37.33154539,37.33154721,100,37.33151421,RANCHO SANTA MARGARITA
L01-223-1 (L08TBN1),ORANGE CO,9.96903579,5.865652846,4.285274231,136.87916674,RANCHO SANTA MARGARITA
L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,131.0136287,131.0136351,95.71472594,136.87916674,RANCHO SANTA MARGARITA
L01-242-1 (L07P16),ORANGE CO,333.6229668,196.2994763,99.65978637,196.96941954,ORANGE CO
L01-242-1 (L07P16),RANCHO SANTA MARGARITA,0.670117404,0.670117436,0.340213646,196.96941954,ORANGE CO
L01-261-1,ORANGE CO,253.9420698,149.4162581,99.85129002,149.63865359,ORANGE CO
L01-261-1,RANCHO SANTA MARGARITA,0.222527793,0.222527803,0.148709977,149.63865359,ORANGE CO
L01-335-1,ORANGE CO,600.1236162,353.1050416,79.80262992,442.4725473,ORANGE CO
L01-335-1,RANCHO SANTA MARGARITA,89.36789252,89.36789689,20.19737008,442.4725473,ORANGE CO
L01-340-1,ORANGE CO,284.5322921,167.4151527,98.78639742,169.47171779,ORANGE CO
L01-340-1,RANCHO SANTA MARGARITA,2.056714849,2.05671495,1.213602575,169.47171779,ORANGE CO
L01-372-1,ORANGE CO,199.8939166,117.6150177,100,117.6149137,ORANGE CO
L01-391-1,ORANGE CO,50.91641536,29.958566,100,29.95853952,ORANGE CO
L01-391-3,ORANGE CO,145.3267646,85.50840504,100,85.50832944,ORANGE CO
L01-404-1,ORANGE CO,404.1397577,237.7906519,100,237.79044171,ORANGE CO
L01-414-1,ORANGE CO,70.31918456,41.37490663,100,41.37487005,ORANGE CO
L01-414-2,ORANGE CO,11.7616036,6.920376761,100,6.92037064,ORANGE CO
L01-414-3,ORANGE CO,147.6040899,86.84835409,100.0000001,86.8482772,ORANGE CO
L01-458-1,ORANGE CO,1020.511405,600.4558269,100,600.45529611,ORANGE CO
L01-471-1,ORANGE CO,542.723915,319.3317933,100,319.331511,ORANGE CO
L01-494-1,ORANGE CO,507.6592601,298.7002,100,298.6999359,ORANGE CO
L01-514-1,ORANGE CO,454.4751233,267.4073357,100,267.40709935,ORANGE CO
L01-517-1,ORANGE CO,254.0088905,149.4555745,91.33564488,163.63320429,SAN JUAN CAPISTRANO
L01-517-1,SAN JUAN CAPISTRANO,14.17778477,14.17777462,8.664355227,163.63320429,SAN JUAN CAPISTRANO
L01-517-3,ORANGE CO,891.42923,524.5055299,86.86213464,603.8362612,ORANGE CO
L01-517-3,SAN JUAN CAPISTRANO,79.33132183,79.33126506,13.13786535,603.8362612,ORANGE CO
L01-517-6,ORANGE CO,23.5456927,13.85398371,100,13.85397146,ORANGE CO
L01-517-7,ORANGE CO,241.1832418,141.9091273,100,141.90900182,ORANGE CO
L01-556-1,SAN JUAN CAPISTRANO,96.73695538,96.73688615,100,96.73680063,SAN JUAN CAPISTRANO
L01-601-1,SAN JUAN CAPISTRANO,10.80021747,10.80020974,100,10.8002002,SAN JUAN CAPISTRANO
L01-602-2,SAN JUAN CAPISTRANO,62.42349549,62.42345082,100,62.42339564,SAN JUAN CAPISTRANO
L01-618-1,SAN JUAN CAPISTRANO,92.62301918,92.6229529,100,92.62287102,SAN JUAN CAPISTRANO
L01-618-2,SAN JUAN CAPISTRANO,399.4927326,399.4924467,100,399.49209345,SAN JUAN CAPISTRANO
L01-618-3,SAN JUAN CAPISTRANO,6.928013648,6.92800869,100,6.92800257,SAN JUAN CAPISTRANO
L01-618-4,SAN JUAN CAPISTRANO,108.6796238,108.679546,100,108.67944992,SAN JUAN CAPISTRANO
L01-618-5 (L01S09),SAN JUAN CAPISTRANO,393.0065817,393.0063004,100,393.00595298,SAN JUAN CAPISTRANO
L01-724-1 (L01S01),DANA POINT,102.8862548,102.8778384,36.30009378,283.40904032,SAN JUAN CAPISTRANO
L01-724-1 (L01S01),LAGUNA NIGUEL,73.06163303,73.0604096,25.77911591,283.40904032,SAN JUAN CAPISTRANO
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,107.4711064,107.4710295,37.92078556,283.40904032,SAN JUAN CAPISTRANO
L01-724-4 (L01P03),LAGUNA NIGUEL,101.4524952,101.4507964,29.00896475,349.72191376,SAN JUAN CAPISTRANO
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,248.2716046,248.2714269,70.99103534,349.72191376,SAN JUAN CAPISTRANO
L01-726-2,DANA POINT,2.515105319,2.514899575,100,2.51489735,DANA POINT
L01-726-3,SAN JUAN CAPISTRANO,11.88575064,11.88574213,100,11.88573163,DANA POINT
L01-726-5,DANA POINT,64.59412153,64.58883753,93.73312978,68.90709888,DANA POINT
L01-726-5,SAN JUAN CAPISTRANO,4.318324685,4.318321595,6.26686923,68.90709888,DANA POINT
L01-726-6,DANA POINT,5.636162795,5.635701739,90.70659762,6.21310567,DANA POINT
L01-726-6,SAN JUAN CAPISTRANO,0.577409883,0.57740947,9.293403178,6.21310567,DANA POINT
L01-726-7,SAN JUAN CAPISTRANO,5.744177238,5.744173127,100,5.74416805,DANA POINT
L01-726-8,SAN JUAN CAPISTRANO,32.32895295,32.32892981,100,32.32890123,SAN JUAN CAPISTRANO
L01-726-9,SAN JUAN CAPISTRANO,89.2725508,89.27248691,100,89.27240799,SAN JUAN CAPISTRANO
L01-727-1 (L01S04),DANA POINT,425.1448688,425.1100906,92.73717517,458.4026999,DANA POINT
L01-727-1 (L01S04),LAGUNA NIGUEL,33.29357196,33.29301445,7.26282481,458.4026999,DANA POINT
L01-727-2,DANA POINT,0.727297383,0.727237887,100,0.72723724,DANA POINT
L01-727-3,DANA POINT,4.740610804,4.740223007,100,4.74021882,DANA POINT
L01-728-2,DANA POINT,95.98093044,95.97307889,100.000001,95.97299313,DANA POINT
