JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
ALISO VIEJO,Total,Aldrin,4.306795939023954e-4,5.923044589652641e-4,0.0010229840528676595
LAGUNA NIGUEL,Dissolved,Aldrin,0,0.0069840927044534035,0.0069840927044534035
ALISO VIEJO,Dissolved,Aldrin,0,5.923044589652641e-4,5.923044589652641e-4
ORANGE CO,Total,Aldrin,0.0025414475715558717,0.002939703270756378,0.00548115084231225
ORANGE CO,Dissolved,Aldrin,0,0.002939703270756378,0.002939703270756378
LAGUNA HILLS,Total,Aldrin,1.4352336690995313e-4,7.727552954214429e-4,9.162786623313961e-4
LAGUNA HILLS,Dissolved,Aldrin,0,7.727552954214429e-4,7.727552954214429e-4
DANA POINT,Total,Aldrin,6.870305658142226e-4,6.518925173852745e-4,0.001338923083199497
SAN JUAN CAPISTRANO,Total,Aldrin,6.654701205420973e-4,0.0020249426972061167,0.002690412817748214
DANA POINT,Dissolved,Aldrin,0,6.518925173852745e-4,6.518925173852745e-4
SAN JUAN CAPISTRANO,Dissolved,Aldrin,0,0.0020249426972061167,0.0020249426972061167
SAN CLEMENTE,Total,Aldrin,0.002985457839666322,0.0019560486706154756,0.004941506510281798
SAN CLEMENTE,Dissolved,Aldrin,0,0.0019560486706154756,0.0019560486706154756
LAGUNA BEACH,Total,Aldrin,5.82188961090112e-4,2.222260498399878e-4,8.044150109300998e-4
LAGUNA BEACH,Dissolved,Aldrin,0,2.222260498399878e-4,2.222260498399878e-4
LAKE FOREST,Total,Anthracene,3.121398679041547e-4,1.1158119654030165e-4,4.2372106444445634e-4
LAKE FOREST,Dissolved,Anthracene,0,1.1158119654030165e-4,1.1158119654030165e-4
MISSION VIEJO,Dissolved,Anthracene,0,0.00124251013403337,0.00124251013403337
MISSION VIEJO,Total,Anthracene,0.004585300032092506,0.00124251013403337,0.005827810166125876
LAGUNA WOODS,Total,Anthracene,2.6974768104342465e-4,0,2.6974768104342465e-4
LAGUNA WOODS,Dissolved,Anthracene,0,0,0
RANCHO SANTA MARGARITA,Total,Anthracene,0.001569750886815113,0.0024264509920884077,0.003996201878903521
RANCHO SANTA MARGARITA,Dissolved,Anthracene,0,0.0024264509920884077,0.0024264509920884077
LAGUNA NIGUEL,Total,Anthracene,0.002160351105030369,0.0069840927044534035,0.009144443809483772
ALISO VIEJO,Total,Anthracene,4.306795939023954e-4,5.923044589652641e-4,0.0010229840528676595
LAGUNA NIGUEL,Dissolved,Anthracene,0,0.0069840927044534035,0.0069840927044534035
ALISO VIEJO,Dissolved,Anthracene,0,5.923044589652641e-4,5.923044589652641e-4
ORANGE CO,Total,Anthracene,0.0025413948547601084,0.00287845945261562,0.005419854307375729
ORANGE CO,Dissolved,Anthracene,0,0.00287845945261562,0.00287845945261562
LAGUNA HILLS,Total,Anthracene,1.4352336690995313e-4,7.727552954214429e-4,9.162786623313961e-4
LAGUNA HILLS,Dissolved,Anthracene,0,7.727552954214429e-4,7.727552954214429e-4
DANA POINT,Total,Anthracene,6.870305658142226e-4,6.518925173852745e-4,0.001338923083199497
SAN JUAN CAPISTRANO,Total,Anthracene,6.654701205420973e-4,0.0020249426972061167,0.002690412817748214
DANA POINT,Dissolved,Anthracene,0,6.518925173852745e-4,6.518925173852745e-4
SAN JUAN CAPISTRANO,Dissolved,Anthracene,0,0.0020249426972061167,0.0020249426972061167
SAN CLEMENTE,Total,Anthracene,0.002985457839666322,0.0019560486706154756,0.004941506510281798
SAN CLEMENTE,Dissolved,Anthracene,0,0.0019560486706154756,0.0019560486706154756
LAGUNA BEACH,Total,Anthracene,5.82188961090112e-4,2.222260498399878e-4,8.044150109300998e-4
LAGUNA BEACH,Dissolved,Anthracene,0,2.222260498399878e-4,2.222260498399878e-4
LAKE FOREST,Total,Azinphos Methyl,6.847235852617658e-4,2.7895299135075415e-4,9.6367657661252e-4
MISSION VIEJO,Total,Azinphos Methyl,0.009171786793455315,0.0026921052904056355,0.01186389208386095
LAKE FOREST,Dissolved,Azinphos Methyl,0,2.7895299135075415e-4,2.7895299135075415e-4
MISSION VIEJO,Dissolved,Azinphos Methyl,0,0.0026921052904056355,0.0026921052904056355
LAGUNA WOODS,Total,Azinphos Methyl,5.394953620868493e-4,0,5.394953620868493e-4
LAGUNA WOODS,Dissolved,Azinphos Methyl,0,0,0
RANCHO SANTA MARGARITA,Total,Azinphos Methyl,0.0031573306296673394,0.005055106233517515,0.008212436863184855
RANCHO SANTA MARGARITA,Dissolved,Azinphos Methyl,0,0.005055106233517515,0.005055106233517515
