FACILITYID,ObsRecordDate,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,date,rain_gage,wet_within_72,GlobalID,QInscfsV,QInscfsF,QInscfsFadj,QInscfs,MonitoringYear,QIns_Day,QInscf
K01-12177-1 (K01P07),2023-08-10T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.36,0.101,2023-08-10,SULPHURCREEK,FALSE,{162A0934-2B45-4BAA-AE44-99D3683A47DD},0.101,0.36,0.24839999999999998,0.101,MY2022-23,8726.400000000001,7430.4000000000005
K01-12177-1 (K01P07),2023-05-23T00:00:00Z,Undetermined,Flowing,Yes,Yes,0.276647,0.071,2023-05-23,SULPHURCREEK,FALSE,{162A0934-2B45-4BAA-AE44-99D3683A47DD},0.071,0.276647,0.19088642999999997,0.071,MY2022-23,6134.4,7430.4000000000005
L01-471-1,2023-08-14T00:00:00Z,Partial - Significant Distance,Flowing,Unknown,NA,0.051173,NA,2023-08-14,PALISADES,FALSE,{1506D8A1-1F63-4CAD-971D-6107A4006B15},NA,0.051173,0.03530937,0.03530937,MY2022-23,3050.7295679999997,1798.6147199999998
L01-471-1,2023-05-30T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,NA,0.009167,NA,2023-05-30,PALISADES,FALSE,{1506D8A1-1F63-4CAD-971D-6107A4006B15},NA,0.009167,0.006325229999999999,0.006325229999999999,MY2022-23,546.499872,1798.6147199999998
L01-458-1,2023-08-14T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,NA,0,0,2023-08-14,PALISADES,FALSE,{12B3B591-46D7-4C09-AEF9-0205FDAAC85B},0,0,0,0,MY2022-23,0,0
SC11-035-2d,2023-05-25T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,NA,0,0,2023-05-25,DANAPOINT,FALSE,{0E4D95D6-8AD7-457D-929B-ABD734ED7531},0,0,0,0,MY2022-23,0,0
J01-10012-3,2023-07-13T00:00:00Z,Undetermined,Dry,Unknown,NA,0,0,2023-07-13,TRABUCO,FALSE,{0E023D41-5A3C-41F1-98C3-7CA73337F6D9},0,0,0,0,MY2022-23,0,0
L05-503-1,2023-06-08T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.066667,NA,2023-06-08,PALISADES,FALSE,{0D74C298-E380-451C-AD48-D54F338F6F15},NA,0.066667,0.046000229999999996,0.046000229999999996,MY2022-23,3974.4198719999995,9596.38752
L05-503-1,2023-08-16T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.25527300000000003,NA,2023-08-16,PALISADES,FALSE,{0D74C298-E380-451C-AD48-D54F338F6F15},NA,0.25527300000000003,0.17613837000000002,0.17613837000000002,MY2022-23,15218.355168000002,9596.38752
I00-11437-1,2023-09-06T00:00:00Z,Undetermined,Flowing,Yes,Yes,0.19,NA,2023-09-06,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA,0.19,0.1311,0.1311,MY2022-23,11327.039999999999,11028.96
I00-11437-1,2023-06-07T00:00:00Z,Undetermined,Flowing,Yes,Yes,0.18,NA,2023-06-07,LAGUNABEACH,FALSE,{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},NA,0.18,0.12419999999999999,0.12419999999999999,MY2022-23,10730.88,11028.96
J01-9349-1,2023-05-16T00:00:00Z,Direct Connection,Flowing,Unknown,Yes,0.004286,0,2023-05-16,ELTORO,FALSE,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},0,0.004286,0.0029573399999999997,0,MY2022-23,0,0
M01-050-4 (M01@CGV),2023-08-02T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.166667,NA,2023-08-02,PALISADES,FALSE,{0B20DCA2-E5EF-49F5-AEA0-7EF86C614A49},NA,0.166667,0.11500023,0.11500023,MY2022-23,9936.019872,5657.647824000001
M01-050-4 (M01@CGV),2023-05-23T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.023136,NA,2023-05-23,PALISADES,FALSE,{0B20DCA2-E5EF-49F5-AEA0-7EF86C614A49},NA,0.023136,0.01596384,0.01596384,MY2022-23,1379.275776,5657.647824000001
L03-455-7,2023-06-29T00:00:00Z,Direct Connection,Flowing,Yes,NA,NA,0.004,2023-06-29,SULPHURCREEK,FALSE,{0AAC6CCE-7032-4220-AA64-E80986CDB7F2},0.004,NA,NA,0.004,MY2022-23,345.59999999999997,881.0976959999998
L03-455-7,2023-08-31T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.023762,NA,2023-08-31,SULPHURCREEK,FALSE,{0AAC6CCE-7032-4220-AA64-E80986CDB7F2},NA,0.023762,0.01639578,0.01639578,MY2022-23,1416.5953919999997,881.0976959999998
J03-9215-3,2023-09-01T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.107143,NA,2023-09-01,SULPHURCREEK,FALSE,{096C0676-4771-492B-BAA6-AA39CD7F88A8},NA,0.107143,0.07392867,0.07392867,MY2022-23,6387.437088000001,5670.614304000001
L01-747-2,2023-06-05T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.022706,NA,2023-06-05,PALISADES,FALSE,{09587147-64CF-499E-B6F3-CA0AB4A5BB40},NA,0.022706,0.01566714,0.01566714,MY2022-23,1353.640896,2539.820448
L01-747-2,2023-08-09T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.0625,NA,2023-08-09,PALISADES,FALSE,{09587147-64CF-499E-B6F3-CA0AB4A5BB40},NA,0.0625,0.043125,0.043125,MY2022-23,3726,2539.820448
L03-316-1,2023-07-13T00:00:00Z,Partial - Significant Distance,Flowing,Yes,NA,0.001286,0,2023-07-13,ELTORO,FALSE,{085CE6CF-F6A5-4D42-8E70-84B8F03CB7C2},0,0.001286,8.873399999999999e-4,0,MY2022-23,0,129.6
J07-9110-3,2023-07-17T00:00:00Z,Direct Connection,Flowing,Yes,NA,NA,0,2023-07-17,ELTORO,FALSE,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},0,NA,NA,0,MY2022-23,0,395.095104
J07-9110-3,2023-08-28T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.004258,NA,2023-08-28,ELTORO,FALSE,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},NA,0.004258,0.0029380199999999995,0.0029380199999999995,MY2022-23,253.84492799999995,395.095104
L03-418-2,2023-09-01T00:00:00Z,Direct Connection,Other - See Comments,Unknown,NA,0.00125,NA,2023-09-01,SULPHURCREEK,FALSE,{06560A1C-A452-4CBC-9B61-5BD085C0EC0B},NA,0.00125,8.625e-4,8.625e-4,MY2022-23,74.52,74.52
J01-10006-3,2023-07-27T00:00:00Z,Partial - Significant Distance,Flowing,Yes,NA,0.205586,NA,2023-07-27,ELTORO,FALSE,{04DAE3FD-BC37-470C-8935-AA2C85E332E3},NA,0.205586,0.14185434,0.14185434,MY2022-23,12256.214976,12256.214976
SC07-079-5,2023-09-01T00:00:00Z,Direct Connection,Flowing,Unknown,NA,1.193182,NA,2023-09-01,PALISADES,FALSE,{03864DBD-D87D-474A-A6EE-7F78E41DD1AA},NA,1.193182,0.8232955799999999,0.8232955799999999,MY2022-23,71132.73811199999,35566.369055999996
J07-9022-1,2023-09-26T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.001125,0.001,2023-09-26,ELTORO,FALSE,{02D8D354-0554-49DF-972A-8BC374B3901B},0.001,0.001125,7.762499999999999e-4,0.001,MY2022-23,86.39999999999999,302.4
J07-9022-1,2023-07-27T00:00:00Z,Partial - Significant Distance,Flowing,Yes,NA,0.018,0.006,2023-07-27,ELTORO,FALSE,{02D8D354-0554-49DF-972A-8BC374B3901B},0.006,0.018,0.012419999999999999,0.006,MY2022-23,518.4,302.4
L01-517-8,2023-06-05T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,NA,0,0,2023-06-05,PALISADES,FALSE,{01A02819-9301-488A-B748-0623EE010001},0,0,0,0,MY2022-23,0,0
L01-517-8,2023-08-09T00:00:00Z,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,NA,0,0,2023-08-09,PALISADES,FALSE,{01A02819-9301-488A-B748-0623EE010001},0,0,0,0,MY2022-23,0,0
L01-261-1,2023-08-15T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.001535,NA,2023-08-15,TRABUCO,FALSE,{01783387-75A4-429B-918B-074CD3332D70},NA,0.001535,0.0010591499999999998,0.0010591499999999998,MY2022-23,91.51056,91.51056
L03-316-4,2023-06-26T00:00:00Z,Direct Connection,Flowing,Yes,NA,0.00225,0.001,2023-06-26,ELTORO,FALSE,{013DEF0D-A524-413F-A01F-3700B35EEACE},0.001,0.00225,0.0015524999999999998,0.001,MY2022-23,86.39999999999999,302.4
J01-9224-1 (J01P24),2023-07-18T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.007015,0.005,2023-07-18,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},0.005,0.007015,0.00484035,0.005,MY2022-23,432,1843.9153199999998
J01-9224-1 (J01P24),2023-08-08T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.009143,0.004,2023-08-08,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},0.004,0.009143,0.00630867,0.004,MY2022-23,345.59999999999997,1843.9153199999998
J01-9224-1 (J01P24),2023-07-11T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.12141,NA,2023-07-11,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},NA,0.12141,0.0837729,0.0837729,MY2022-23,7237.97856,1843.9153199999998
J01-9224-1 (J01P24),2023-02-09T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.084,NA,2023-02-09,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},NA,0.084,0.05796,0.05796,MY2022-23,5007.744,1843.9153199999998
J01-9224-1 (J01P24),2023-08-01T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.02654,0.004,2023-08-01,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},0.004,0.02654,0.0183126,0.004,MY2022-23,345.59999999999997,1843.9153199999998
J01-9224-1 (J01P24),2023-05-23T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.02777,0.007,2023-05-23,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},0.007,0.02777,0.0191613,0.007,MY2022-23,604.8,1843.9153199999998
J01-9224-1 (J01P24),2023-07-25T00:00:00Z,Direct Connection,Flowing,Yes,Yes,0.009956,0.003,2023-07-25,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},0.003,0.009956,0.006869639999999999,0.003,MY2022-23,259.2,1843.9153199999998
M02-086-1,2023-08-01T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-01,PALISADES,FALSE,{F86F746E-958B-4AF4-8B9D-F230E1352261},0,0,0,0,MY2022-23,0,0
J01-9066-2 (J01P03),2023-04-25T00:00:00Z,NA,Flowing,Yes,NA,0.014375,0.042,2023-04-25,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},0.042,0.014375,0.00991875,0.042,MY2022-23,3628.7999999999997,2476.7999999999997
I01-11077-1,2023-09-20T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-20,LAGUNABEACH,FALSE,{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},0,0,0,0,MY2022-23,0,0
J07-9022-6,2023-07-27T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-07-27,ELTORO,FALSE,{ED29B567-C00D-4966-8303-25068F8D1BA9},0,0,0,0,MY2022-23,0,0
J07-9110-2,2023-04-26T00:00:00Z,NA,Flowing,Yes,NA,0.125,NA,2023-04-26,ELTORO,FALSE,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},NA,0.125,0.08625,0.08625,MY2022-23,7452,3726
J01-9992-1 (J01P27),2023-04-26T00:00:00Z,NA,Flowing,Yes,Yes,0.197321,0.023,2023-04-26,SULPHURCREEK,FALSE,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},0.023,0.197321,0.13615148999999999,0.023,MY2022-23,1987.1999999999998,2835.008352
SC11-130-2,2023-08-03T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-03,PALISADES,FALSE,{DE0020F6-684A-482B-8896-B9B1BD8DEE8C},0,0,0,0,MY2022-23,0,0
I01-11015-3,2023-09-20T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-20,LAGUNABEACH,FALSE,{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},0,0,0,0,MY2022-23,0,324.28123199999993
I01-11059-3,2023-09-20T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-20,LAGUNABEACH,FALSE,{DB859266-5BF1-4E9B-91AB-9674CD92B469},0,0,0,0,MY2022-23,0,0
J01-9082-2,2023-04-27T00:00:00Z,NA,Flowing,Yes,Yes,0.872354,0.017,2023-04-27,SULPHURCREEK,FALSE,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},0.017,0.872354,0.6019242599999999,0.017,MY2022-23,1468.8000000000002,5620.371552
J01-9082-3,2023-08-09T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-09,SULPHURCREEK,FALSE,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},0,0,0,0,MY2022-23,0,0
J01-9082-3,2023-04-27T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-04-27,SULPHURCREEK,FALSE,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},0,0,0,0,MY2022-23,0,0
J01-9082-3,2023-05-30T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-05-30,SULPHURCREEK,FALSE,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},0,0,0,0,MY2022-23,0,0
J07-9109-4 (J07P02),2023-05-22T00:00:00Z,NA,Flowing,Yes,NA,0.092221,NA,2023-05-22,ELTORO,FALSE,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},NA,0.092221,0.06363249,0.06363249,MY2022-23,5497.847135999999,3767.3921663999995
M01-168-2d (M00P03),2023-08-03T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-03,PALISADES,FALSE,{CD4DB632-4AF2-493B-8B3C-84DF4057B012},0,0,0,0,MY2022-23,0,0
L01-517-1,2023-06-05T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-06-05,PALISADES,FALSE,{CD0E12FD-1932-4531-BF8C-AE40939F31B4},0,0,0,0,MY2022-23,0,0
I01-11059-1,2023-09-20T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-20,LAGUNABEACH,FALSE,{C71E52F8-AC08-4469-BA89-8E02697C744D},0,0,0,0,MY2022-23,0,0
M02-061-4 (SCBS@M02),2023-09-01T00:00:00Z,NA,Flowing,Yes,NA,0.037667,NA,2023-09-01,PALISADES,FALSE,{C461CAC3-1849-40E8-B3F7-D3281D347977},NA,0.037667,0.025990229999999996,0.025990229999999996,MY2022-23,2245.5558719999995,1580.0028479999996
K01-12058-2 (K01P09),2023-06-30T00:00:00Z,NA,Flowing,Yes,NA,0.054969,NA,2023-06-30,SULPHURCREEK,FALSE,{C0A795C3-4CA5-4BFE-8231-8B5C12D45F49},NA,0.054969,0.037928609999999995,0.037928609999999995,MY2022-23,3277.031903999999,5946.169392
J01-9005-1 (J03P05),2023-04-26T00:00:00Z,NA,Flowing,Yes,NA,0.043334,NA,2023-04-26,SULPHURCREEK,FALSE,{BEADF14B-536C-491F-AF1C-E6C6959F66BD},NA,0.043334,0.029900459999999997,0.029900459999999997,MY2022-23,2583.3997439999994,2484.019872
M01-168-1d (M00P03),2023-08-03T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-03,PALISADES,FALSE,{BCEA4CB4-4C65-4F42-B982-CE82FDFD0ABA},0,0,0,0,MY2022-23,0,0
SC11-035-3d,2023-08-03T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-03,PALISADES,FALSE,{BBC10ACC-C12B-4BF8-854C-F341793E1E96},0,0,0,0,MY2022-23,0,0
I01-11077-2,2023-09-20T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-20,LAGUNABEACH,FALSE,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},0,0,0,0,MY2022-23,0,0
L01-727-2,2023-05-09T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-05-09,DANAPOINT,FALSE,{B9983359-9D26-40FE-905C-4936B6ED0548},0,0,0,0,MY2022-23,0,0
M01-008-1,2023-08-01T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-01,PALISADES,FALSE,{B4C2DE98-2903-4237-914D-570020690CEC},0,0,0,0,MY2022-23,0,0
J05-9800-2,2023-07-27T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-07-27,ELTORO,FALSE,{B447E738-FF4A-4052-83BC-409EFD00CC89},0,0,0,0,MY2022-23,0,0
J05-9800-2,2023-09-27T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-27,ELTORO,FALSE,{B447E738-FF4A-4052-83BC-409EFD00CC89},0,0,0,0,MY2022-23,0,0
J03-9221-1 (J03P02),2023-04-27T00:00:00Z,NA,Flowing,Yes,Yes,0.443573,0.141,2023-04-27,SULPHURCREEK,FALSE,{B349E3D1-F18C-44B9-A54D-9A854691EE96},0.141,0.443573,0.30606536999999995,0.141,MY2022-23,12182.4,17077.248
J03-9216-1 (J03P01),2023-06-27T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-06-27,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},0,0,0,0,MY2022-23,0,0
I01-11023-3,2023-09-20T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-20,LAGUNABEACH,FALSE,{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},0,0,0,0,MY2022-23,0,0
J01-9082-4,2023-08-09T00:00:00Z,NA,Flowing,Yes,NA,0.015845,0.008,2023-08-09,SULPHURCREEK,FALSE,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},0.008,0.015845,0.01093305,0.008,MY2022-23,691.1999999999999,1497.6
J01-9082-4,2023-04-27T00:00:00Z,NA,Flowing,Yes,NA,0.040926,0.021,2023-04-27,SULPHURCREEK,FALSE,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},0.021,0.040926,0.028238939999999997,0.021,MY2022-23,1814.3999999999999,1497.6
J03-9368-1 (J03TBN1),2023-04-27T00:00:00Z,NA,Flowing,Yes,NA,0.003375,0.014,2023-04-27,SULPHURCREEK,FALSE,{AAC8234A-5800-4230-971C-633C406E3E23},0.014,0.003375,0.0023287499999999997,0.014,MY2022-23,1209.6,867.825792
J03-9368-1 (J03TBN1),2023-06-27T00:00:00Z,NA,Flowing,Yes,NA,0.008824,NA,2023-06-27,SULPHURCREEK,FALSE,{AAC8234A-5800-4230-971C-633C406E3E23},NA,0.008824,0.00608856,0.00608856,MY2022-23,526.051584,867.825792
