StationCode,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs
LC06-11019-1,LAGUNA BEACH,0.001,0.028496,0.001,0.019662239999999997,0.001
L01-404-2,ORANGE CO,0.025500000000000002,0.056201,0.024,0.03877869,0.024
LC05-11017-2,LAGUNA BEACH,0.002,0.029091,0.0066925,0.020072789999999997,0.0066925
M02-032-1,SAN CLEMENTE,NA,0.245958,0.20817184999999996,0.16971102,0.20817184999999996
K01-12036-5,LAGUNA NIGUEL,0.007,0.054304,0.06816095999999999,0.03746976,0.06816095999999999
L02-204-1 (L02P45),RANCHO SANTA MARGARITA,0.0036,0.021742,0.002,0.01500198,0.002
L01-766-3,SAN JUAN CAPISTRANO,0.0035,0.00798,0.001,0.005506199999999999,0.001
L02-502-5,SAN JUAN CAPISTRANO,0.004,0,0.002,0,0.002
L05-049-1,ORANGE CO,0.11275,0.996847,0.11353333333333333,0.6878244299999999,0.11353333333333333
M01-099-1,SAN CLEMENTE,0.0055,0.028528,0.0026282099999999997,0.019684319999999998,0.0026282099999999997
M02-052-4,SAN CLEMENTE,0.004333333333333333,0.041791,0.00919977,0.02883579,0.00919977
L01-760-1,ORANGE CO,0.004,0.019203,0.023685664999999995,0.01325007,0.023685664999999995
L02-374-1 (L02P50),ORANGE CO,0.06166666666666667,0.197378,0.09232750857142857,0.13619082,0.09232750857142857
M01-038-6,SAN CLEMENTE,0.0015,0.013791,0.001,0.00951579,0.001
L01-218-2,RANCHO SANTA MARGARITA,0.0015,0.020075,0.0044776,0.013851749999999998,0.0044776
K01-12138-1 (K01TBN1),LAGUNA NIGUEL,0.0025,0.063607,0.14465504999999998,0.04388883,0.14465504999999998
L01-494-1,ORANGE CO,0.038,0.095255,0.054,0.06572595,0.054
L03-455-7,LAGUNA NIGUEL,0.004,0.052896,0.01019789,0.036498239999999994,0.01019789
L01-340-1,ORANGE CO,0.016333333333333335,0.051357,0.017110069999999998,0.035436329999999995,0.017110069999999998
J01-9046-2,LAKE FOREST,1.25e-4,0.099449,5e-4,0.06861980999999999,5e-4
J01-10019-1 (J01P33),ALISO VIEJO,0.001142857142857143,0.007265,NA,0.005012849999999999,0.001142857142857143
L01-335-1,ORANGE CO,0.0025,0.013073,0.01278777,0.00902037,0.01278777
K01-12058-2 (K01P09),LAGUNA NIGUEL,0.0461,0.12576,0.073585686,0.0867744,0.073585686
J01-9144-4 (J01P26),ALISO VIEJO,8.571428571428572e-4,0.003827,0,0.0026406299999999997,0
L01-618-5 (L01S09),SAN JUAN CAPISTRANO,NA,0.180631,0.6831641699999998,0.12463539,0.6831641699999998
L03-214-2 (L03P18),MISSION VIEJO,0.17025,0.596516,0.44837974333333336,0.41159604,0.44837974333333336
J07-9109-4 (J07P02),MISSION VIEJO,0.014307692307692308,0.186781,0.043604076,0.12887889,0.043604076
L03-662-1,MISSION VIEJO,0.006,0.022101,0.006,0.015249689999999998,0.006
K01-12177-1 (K01P07),LAGUNA NIGUEL,0.0644,0.254271,0.086,0.17544699,0.086
M02-052-3,SAN CLEMENTE,0.002,0.100222,0.01993341,0.06915318,0.01993341
J01-9005-3,LAGUNA NIGUEL,0.017875000000000002,0.303774,NA,0.20960405999999998,0.017875000000000002
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,0.004,0.02678,0.02987707,0.0184782,0.02987707
J03-9234-6,LAGUNA NIGUEL,0.04566666666666667,1.108261,0.1147496,0.7647000899999999,0.1147496
M02-061-4 (SCBS@M02),SAN CLEMENTE,0.002,0.016817,0.018287069999999996,0.011603729999999998,0.018287069999999996
L03-316-1,MISSION VIEJO,0.00825,0.036202,0.0015,0.024979379999999995,0.0015
J03-9215-3,LAGUNA NIGUEL,0.0154,0.04731,0.06563211,0.032643899999999997,0.06563211
L03-316-4,MISSION VIEJO,0.0023333333333333335,0.019996,0.0035,0.013797239999999999,0.0035
J01-9082-4,ALISO VIEJO,0.0077,0.023004,0.017333333333333333,0.01587276,0.017333333333333333
L03-708-13,LAGUNA NIGUEL,0.007,0.056238,0.09127285499999999,0.03880422,0.09127285499999999
J01-9008-1 (J01P30),ALISO VIEJO,0.02542857142857143,0.05744,0.0295,0.0396336,0.0295
J01-9005-1 (J03P05),LAGUNA NIGUEL,0.012714285714285714,0.034405,0.028750229999999998,0.023739449999999995,0.028750229999999998
L01-760-2,ORANGE CO,0.0655,0.075871,0.06021837,0.05235098999999999,0.06021837
J05-9800-2,LAGUNA HILLS,0,0,0,0,0
SC09-081-2d,SAN CLEMENTE,0.031,0.075564,0.058092664999999995,0.05213916,0.058092664999999995
