StationCode,Jurisdiction,VolumeDischargeCFS,HandMeterDischarge,AVGvDISCHARGE,AVGfmDISCHARGE,Qcalcs
"SULPHUR_INLET_LNL
",LAGUNA NIGUEL,0.167,NA,0.39085714285714285,0.89,0.39085714285714285
"SULPHUR_INLET_LNL
",LAGUNA NIGUEL,0.692,NA,0.39085714285714285,0.89,0.39085714285714285
"SULPHUR_INLET_LNL
",LAGUNA NIGUEL,0.229,NA,0.39085714285714285,0.89,0.39085714285714285
"SULPHUR_INLET_LNL
",LAGUNA NIGUEL,0.794,NA,0.39085714285714285,0.89,0.39085714285714285
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,NA,9.943,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,NA,1.66,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,0.665,NA,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,1.197,NA,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,2.408,NA,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,2.018,NA,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,1.091,NA,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,2.593,NA,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,3.37,NA,1.875375,5.8015,1.875375
ALISO_ALISO_CK_RD,LAGUNA NIGUEL,1.661,NA,1.875375,5.8015,1.875375
K01-12156-4,LAGUNA NIGUEL,NA,NA,NA,0.57,0.57
K01-12156-4,LAGUNA NIGUEL,NA,NA,NA,0.57,0.57
K01-12156-4,LAGUNA NIGUEL,NA,NA,NA,0.57,0.57
K01-12156-4,LAGUNA NIGUEL,NA,0.57,NA,0.57,0.57
K01-12156-4,LAGUNA NIGUEL,NA,NA,NA,0.57,0.57
L03-708-9,LAGUNA NIGUEL,0.005,NA,0.005,NA,0.005
J07-9109-1,MISSION VIEJO,NA,NA,0,NA,0
J07-9109-1,MISSION VIEJO,0,NA,0,NA,0
ALISO_LAGUNA_HILLS,LAGUNA HILLS,NA,1.721,0.951,1.721,0.951
ALISO_LAGUNA_HILLS,LAGUNA HILLS,0.67,NA,0.951,1.721,0.951
ALISO_LAGUNA_HILLS,LAGUNA HILLS,0.787,NA,0.951,1.721,0.951
ALISO_LAGUNA_HILLS,LAGUNA HILLS,0.279,NA,0.951,1.721,0.951
ALISO_LAGUNA_HILLS,LAGUNA HILLS,2.803,NA,0.951,1.721,0.951
ALISO_LAGUNA_HILLS,LAGUNA HILLS,0.854,NA,0.951,1.721,0.951
