JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
MISSION VIEJO,Total,"Chromium, Total",1.181149611472928,0.5542371766622602,1.7353867881351883
LAKE FOREST,Dissolved,"Chromium, Total",0.05338713784878989,0.060904736444914655,0.11429187429370455
MISSION VIEJO,Dissolved,"Chromium, Total",0.7823277050885566,0.5542371766622602,1.336564881750817
LAGUNA WOODS,Total,"Chromium, Total",0.07738407279343913,0,0.07738407279343913
LAGUNA WOODS,Dissolved,"Chromium, Total",0.048618042647405005,0,0.048618042647405005
RANCHO SANTA MARGARITA,Total,"Chromium, Total",0.23160296853742912,0.9333748149566742,1.1649777834941033
RANCHO SANTA MARGARITA,Dissolved,"Chromium, Total",0.19156324814657086,0.9333748149566742,1.124938063103245
LAGUNA NIGUEL,Total,"Chromium, Total",1.7251934922857637,4.840752254486704,6.565945746772467
ALISO VIEJO,Total,"Chromium, Total",0.1690975578521924,0.5254651788651069,0.6945627367172993
LAGUNA NIGUEL,Dissolved,"Chromium, Total",0.2249536571890365,4.840752254486704,5.065705911675741
ALISO VIEJO,Dissolved,"Chromium, Total",0.14233115965931786,0.5254651788651069,0.6677963385244248
ORANGE CO,Total,"Chromium, Total",1.1813729346350705,2.2072272057929134,3.388600140427984
ORANGE CO,Dissolved,"Chromium, Total",0.32320598617048735,2.2072272057929134,2.5304331919634007
LAGUNA HILLS,Total,"Chromium, Total",0.04190882313770631,0.3678315206206068,0.40974034375831314
LAGUNA HILLS,Dissolved,"Chromium, Total",0.02640829951143138,0.3678315206206068,0.3942398201320382
DANA POINT,Total,"Chromium, Total",0.6588973132762407,0.5986546284654771,1.2575519417417178
SAN JUAN CAPISTRANO,Total,"Chromium, Total",0.1259581541762501,0.5264851012735904,0.6524432554498405
DANA POINT,Dissolved,"Chromium, Total",0.0947047288058897,0.5986546284654771,0.6933593572713668
SAN JUAN CAPISTRANO,Dissolved,"Chromium, Total",0.0687519994665441,0.5264851012735904,0.5952371007401345
SAN CLEMENTE,Total,"Chromium, Total",0.6852169901946994,1.3570087652394864,2.0422257554341856
SAN CLEMENTE,Dissolved,"Chromium, Total",0.4059568788234268,1.3570087652394864,1.7629656440629131
LAGUNA BEACH,Total,"Chromium, Total",0.1042581493043217,0.04844527886511735,0.15270342816943905
LAGUNA BEACH,Dissolved,"Chromium, Total",0.08078514433597549,0.04844527886511735,0.12923042320109285
LAKE FOREST,Total,"Copper, Total",0.9673142235484861,0.7513133900380312,1.7186276135865173
MISSION VIEJO,Total,"Copper, Total",13.793381178345426,7.737879777565913,21.53126095591134
LAKE FOREST,Dissolved,"Copper, Total",0.7644324306320956,0.7513133900380312,1.5157458206701269
MISSION VIEJO,Dissolved,"Copper, Total",9.324061717558168,7.737879777565913,17.06194149512408
LAGUNA WOODS,Total,"Copper, Total",0.913228038076482,0,0.913228038076482
LAGUNA WOODS,Dissolved,"Copper, Total",0.7374513033980109,0,0.7374513033980109
RANCHO SANTA MARGARITA,Total,"Copper, Total",3.219007352423946,12.36970052181069,15.588707874234636
RANCHO SANTA MARGARITA,Dissolved,"Copper, Total",2.193148490382345,12.36970052181069,14.562849012193036
LAGUNA NIGUEL,Total,"Copper, Total",5.528517339884227,29.268586501188107,34.797103841072335
ALISO VIEJO,Total,"Copper, Total",1.4891641265281177,3.4956840978148884,4.984848224343006
LAGUNA NIGUEL,Dissolved,"Copper, Total",2.976412909811963,29.268586501188107,32.24499941100007
ALISO VIEJO,Dissolved,"Copper, Total",1.1045352453282067,3.4956840978148884,4.600219343143095
ORANGE CO,Total,"Copper, Total",4.426479309788042,15.646920623275912,20.073399933063953
ORANGE CO,Dissolved,"Copper, Total",2.640256432885461,15.646920623275912,18.287177056161372
LAGUNA HILLS,Total,"Copper, Total",0.4908499148320399,4.775627725704517,5.266477640536557
