Facility.Identifier,avgCnx,PERSISTENTFLOW,avgCnx2,,,,
L01-748-2,1,Yes,Direct,,,,
L01-749-2d,0.77,Yes,Unknown,,,,
L01-749-3,0.385,Unknown,Partial,,,,
L01-749-5,1,Unknown,Direct,,,,
L01-760-1,0.385,Yes,Partial,,,,
L01-760-2,1,Yes,Direct,,,,
L01-766-2 (L01S06),0.885,Unknown,Partial,,,,
L01-766-3,1,Yes,Direct,,,,
L01-766-4,0,Unknown,None,,,,
L01-766-5,0.385,Unknown,Partial,,,,
L01-766-7,0,Unknown,None,,,,
L01-766-8,0,Unknown,None,,,,
L01-766-9,0.77,Yes,Unknown,,,,
L02-166-1 (L02PXX),0.885,Unknown,Partial,,,,
L02-166-2 (L02P25),0.846666667,Unknown,Partial,,,,
L02-166-3 (L02P26),0.77,Yes,Unknown,,,,
L02-198-1 (L02P29),0.5,Yes,Partial,,,,
L02-204-1 (L02P45),0.77,Unknown,Unknown,,,,
L02-246-1 (L11P01),0.967142857,Yes,Partial,,,,
L02-344-1,0,Unknown,None,,,,
L02-344-2,0.77,Yes,Unknown,,,,
L02-359-1 (L02P43),0.77,Yes,Unknown,,,,
L02-366-1 (MVL02P14),0.77,Yes,Unknown,,,,
L02-374-1 (L02P50),0.791428571,Yes,Partial,,,,
L02-374-2 (MVL02P20),0.385,Unknown,Partial,,,,
L02-396-1,0.77,Yes,Unknown,,,,
L02-401-1,1,Yes,Direct,,,,
L02-401-2 (COL02P55),0,Yes,None,,,,
L02-502-1,0.77,Unknown,Unknown,,,,
L02-502-5,0.5,Unknown,Partial,,,,
L02-502-6,0.77,Unknown,Unknown,,,,
L02-541-2,0,Unknown,None,,,,
L02-541-6,1,Yes,Direct,,,,
L02-541-7,0.385,Unknown,Partial,,,,
L02-541-9 (L02P02),0.385,Yes,Partial,,,,
L02-571-1,0,Unknown,None,,,,
L02-571-3,0.5,Yes,Partial,,,,
L02-571-5 (L02TBN2),0.75,Yes,Partial,,,,
L02-622-1 (L02P28),0.77,Unknown,Unknown,,,,
L02-622-2 (L02P32),1,Yes,Direct,,,,
L02-640-1 (L11P02),0.885,Unknown,Partial,,,,
L02-641-1,1,Yes,Direct,,,,
L02-641-2,0.923333333,Yes,Partial,,,,
L03-074-1 (L03B01),1,Yes,Direct,,,,
L03-074-2,0.885,Yes,Partial,,,,
L03-141-1,0.77,Yes,Unknown,,,,
L03-141-2,0.77,Yes,Unknown,,,,
L03-141-3,0.77,Yes,Unknown,,,,
L03-142-1 (L03P24),0.77,Unknown,Unknown,,,,
L03-172-2,0.385,Yes,Partial,,,,
L03-172-3,0.77,Yes,Unknown,,,,
L03-214-2 (L03P18),1,Yes,Direct,,,,
L03-240-1 (L03P14),1,Yes,Direct,,,,
L03-241-3,0.885,Yes,Partial,,,,
L03-241-4,0.885,Yes,Partial,,,,
L03-316-1,0.635,Yes,Partial,,,,
L03-316-2,0.756666667,Yes,Partial,,,,
L03-316-3 (L03P12),1,Yes,Direct,,,,
L03-316-4,0.885,Yes,Partial,,,,
L03-418-1,1,Yes,Direct,,,,
L03-418-2,0.885,Unknown,Partial,,,,
L03-418-3,0,Unknown,None,,,,
