FACILITYID,AREA,area_acres,JURISDICTI3,acres_juris_soc,AcresJO,sumNA,PERCENTAGE,JURISDICTI2,Acres,JURISDICTI,AcresOb,PERCENT_o
J01-9005-1 (J03P05),127.7905545,127.79044152,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,127.7926944,LAGUNA NIGUEL,127.7905545,1.350312833025936
J01-9005-3,2.7957869,201.89063791,LAGUNA HILLS,3498.38696,1941.488538748,1,1.384801424,LAGUNA HILLS,3.399706881,LAGUNA NIGUEL,2.7957869,0.07991645669751754
J01-9005-3,199.0950289,201.89063791,LAGUNA NIGUEL,9463.773977,7019.695595841,3,98.6151983,LAGUNA NIGUEL,199.0983629,LAGUNA NIGUEL,199.0950289,2.103759339391078
J01-9007-1 (J02P05),142.9832949,145.61257767,ALISO VIEJO,4298.475849,3530.302268142,2,98.19424307,ALISO VIEJO,147.0895875,ALISO VIEJO,142.9832949,3.3263719495658846
J01-9007-1 (J02P05),2.629412085,145.61257767,ORANGE CO,94761.16102,11899.378947256,16,1.805757306,ORANGE CO,2.629421282,ALISO VIEJO,2.629412085,0.002774778249545765
J01-9008-1 (J01P30),211.5722774,211.57209037,ALISO VIEJO,4298.475849,3530.302268142,2,100,ALISO VIEJO,217.6483557,ALISO VIEJO,211.5722774,4.922030152832434
J01-9031-1,274.2825608,298.95942316,LAKE FOREST,3303.943395,2320.512734174,0,91.74566749,LAKE FOREST,885.5128015,LAKE FOREST,274.2825608,8.301672517001462
J01-9033-1,1.130688146,41.10421176,LAKE FOREST,3303.943395,2320.512734174,0,2.750781729,LAKE FOREST,3.650391863,LAKE FOREST,1.130688146,0.034222382493329616
J01-9033-1,39.97356139,41.10421176,ORANGE CO,94761.16102,11899.378947256,16,97.24922177,ORANGE CO,67.9375126,LAKE FOREST,39.97356139,0.04218348631414858
J01-9040-1,146.0953709,146.1265793,LAKE FOREST,3303.943395,2320.512734174,0,99.97855453,LAKE FOREST,471.6644063,LAKE FOREST,146.0953709,4.42184848327282
J01-9040-1,0.031337744,146.1265793,ORANGE CO,94761.16102,11899.378947256,16,0.021445596,ORANGE CO,0.053260413,LAKE FOREST,0.031337744,3.307024065839163e-5
J01-9046-1,65.72082879,65.72077069,LAKE FOREST,3303.943395,2320.512734174,0,100,LAKE FOREST,212.177672,LAKE FOREST,65.72082879,1.9891632795361498
J01-9046-2,46.07933644,46.36377902,LAKE FOREST,3303.943395,2320.512734174,0,99.38641043,LAKE FOREST,148.7657188,LAKE FOREST,46.07933644,1.3946769339248926
J01-9046-2,0.284484071,46.36377902,MISSION VIEJO,11525.93439,7216.746164301,6,0.613590663,MISSION VIEJO,0.284485412,LAKE FOREST,0.284484071,0.002468208315039697
J01-9046-3,15.52793121,15.52791748,LAKE FOREST,3303.943395,2320.512734174,0,100,LAKE FOREST,50.13144774,LAKE FOREST,15.52793121,0.4699817567546432
J01-9066-1 (J01P04),2.336414493,82.12170635,LAKE FOREST,3303.943395,2320.512734174,0,2.845060742,LAKE FOREST,7.543042247,MISSION VIEJO,2.336414493,0.07071593588848396
J01-9066-1 (J01P04),79.78536327,82.12170635,MISSION VIEJO,11525.93439,7216.746164301,6,97.15493782,MISSION VIEJO,79.7857395,MISSION VIEJO,79.78536327,0.6922246871301165
J01-9066-2 (J01P03),3.440043196,420.34930926,LAKE FOREST,3303.943395,2320.512734174,0,0.818376545,LAKE FOREST,11.10607353,MISSION VIEJO,3.440043196,0.10411931394484439
J01-9066-2 (J01P03),416.9096378,420.34930926,MISSION VIEJO,11525.93439,7216.746164301,6,99.18162349,MISSION VIEJO,416.9116038,MISSION VIEJO,416.9096378,3.6171439441969615
J01-9082-2,121.9774259,124.66076066,ALISO VIEJO,4298.475849,3530.302268142,2,97.84740395,ALISO VIEJO,125.4804575,ALISO VIEJO,121.9774259,2.8376901530894236
J01-9082-2,2.683443822,124.66076066,ORANGE CO,94761.16102,11899.378947256,16,2.152595119,ORANGE CO,2.683453208,ALISO VIEJO,2.683443822,0.002831797112989826
J01-9082-3,121.9774259,124.66076066,ALISO VIEJO,4298.475849,3530.302268142,2,97.84740395,ALISO VIEJO,125.4804575,ALISO VIEJO,121.9774259,2.8376901530894236
J01-9082-3,2.683443822,124.66076066,ORANGE CO,94761.16102,11899.378947256,16,2.152595119,ORANGE CO,2.683453208,ALISO VIEJO,2.683443822,0.002831797112989826
J01-9082-4,121.9774259,124.66076066,ALISO VIEJO,4298.475849,3530.302268142,2,97.84740395,ALISO VIEJO,125.4804575,ALISO VIEJO,121.9774259,2.8376901530894236
J01-9082-4,2.683443822,124.66076066,ORANGE CO,94761.16102,11899.378947256,16,2.152595119,ORANGE CO,2.683453208,ALISO VIEJO,2.683443822,0.002831797112989826
J01-9131-1 (J01P28),286.3863217,286.38606854,ALISO VIEJO,4298.475849,3530.302268142,2,100,ALISO VIEJO,294.6109612,ALISO VIEJO,286.3863217,6.662508567231454
J01-9144-1 (J01P23),175.458307,175.4581519,ALISO VIEJO,4298.475849,3530.302268142,2,100,ALISO VIEJO,180.4972394,LAGUNA NIGUEL,175.458307,4.081872579110075
J01-9144-4 (J01P26),193.493131,193.49295991,ALISO VIEJO,4298.475849,3530.302268142,2,100,ALISO VIEJO,199.0499998,ALISO VIEJO,193.493131,4.501435806485091
J01-9224-1 (J01P24),3.644636926,222.46726525,ALISO VIEJO,4298.475849,3530.302268142,2,1.638278647,ALISO VIEJO,3.749306117,LAGUNA NIGUEL,3.644636926,0.08478905207407156
J01-9224-1 (J01P24),218.822824,222.46726525,LAGUNA NIGUEL,9463.773977,7019.695595841,3,98.36172091,LAGUNA NIGUEL,218.8264883,LAGUNA NIGUEL,218.822824,2.312215238147165
J01-9224-2 (J01P25),3.644636926,222.46726525,ALISO VIEJO,4298.475849,3530.302268142,2,1.638278647,ALISO VIEJO,3.749306117,LAGUNA NIGUEL,3.644636926,0.08478905207407156
J01-9224-2 (J01P25),218.822824,222.46726525,LAGUNA NIGUEL,9463.773977,7019.695595841,3,98.36172091,LAGUNA NIGUEL,218.8264883,LAGUNA NIGUEL,218.822824,2.312215238147165
J01-9259-3,140.7443706,140.75505759,LAKE FOREST,3303.943395,2320.512734174,0,99.99231896,LAKE FOREST,454.3888664,LAKE FOREST,140.7443706,4.259890493674757
