JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAKE FOREST,Total,Azinphos Methyl,2.5,ng/L
MISSION VIEJO,Total,Azinphos Methyl,2.5,ng/L
LAKE FOREST,Dissolved,Azinphos Methyl,2.5,ng/L
MISSION VIEJO,Dissolved,Azinphos Methyl,2.5,ng/L
LAGUNA WOODS,Total,Azinphos Methyl,2.5,ng/L
LAGUNA WOODS,Dissolved,Azinphos Methyl,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Azinphos Methyl,2.314814814814815,ng/L
RANCHO SANTA MARGARITA,Dissolved,Azinphos Methyl,2.314814814814815,ng/L
LAGUNA NIGUEL,Total,Azinphos Methyl,2.5,ng/L
ALISO VIEJO,Total,Azinphos Methyl,2.4074074074074074,ng/L
LAGUNA NIGUEL,Dissolved,Azinphos Methyl,2.5,ng/L
ALISO VIEJO,Dissolved,Azinphos Methyl,2.4074074074074074,ng/L
ORANGE CO,Total,Azinphos Methyl,2.3529411764705883,ng/L
ORANGE CO,Dissolved,Azinphos Methyl,2.3529411764705883,ng/L
LAGUNA HILLS,Total,Azinphos Methyl,2.5,ng/L
LAGUNA HILLS,Dissolved,Azinphos Methyl,2.5,ng/L
DANA POINT,Total,Azinphos Methyl,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Azinphos Methyl,2.5,ng/L
DANA POINT,Dissolved,Azinphos Methyl,2.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,Azinphos Methyl,2.5,ng/L
SAN CLEMENTE,Total,Azinphos Methyl,2.2222222222222223,ng/L
SAN CLEMENTE,Dissolved,Azinphos Methyl,2.2222222222222223,ng/L
LAGUNA BEACH,Total,Azinphos Methyl,2.5,ng/L
LAGUNA BEACH,Dissolved,Azinphos Methyl,2.5,ng/L
LAKE FOREST,Total,Benz[a]anthracene,1,ng/L
LAKE FOREST,Dissolved,Benz[a]anthracene,1,ng/L
MISSION VIEJO,Dissolved,Benz[a]anthracene,1.1538461538461537,ng/L
MISSION VIEJO,Total,Benz[a]anthracene,1.1538461538461537,ng/L
LAGUNA WOODS,Total,Benz[a]anthracene,1.25,ng/L
LAGUNA WOODS,Dissolved,Benz[a]anthracene,1.25,ng/L
