FACILITYID,area_acres,JURISDICTI
L01-556-1,96.73680063,SAN JUAN CAPISTRANO
L01-601-1,10.8002002,SAN JUAN CAPISTRANO
L01-602-2,62.42339564,SAN JUAN CAPISTRANO
L01-618-1,92.62287102,SAN JUAN CAPISTRANO
L01-618-2,399.49209345,SAN JUAN CAPISTRANO
L01-618-3,6.92800257,SAN JUAN CAPISTRANO
L01-618-4,108.67944992,SAN JUAN CAPISTRANO
L01-618-5 (L01S09),393.00595298,SAN JUAN CAPISTRANO
L01-726-2,2.51489735,DANA POINT
L01-726-3,11.88573163,DANA POINT
L01-726-5,68.90709888,DANA POINT
L01-726-6,6.21310567,DANA POINT
L01-726-7,5.74416805,DANA POINT
L01-726-8,32.32890123,SAN JUAN CAPISTRANO
L01-726-9,89.27240799,SAN JUAN CAPISTRANO
L01-727-2,0.72723724,DANA POINT
L01-727-3,4.74021882,DANA POINT
L01-728-2,95.97299313,DANA POINT
L01-728-3 (L01S02),1014.01862168,DANA POINT
L01-728-6,4.46590424,DANA POINT
L01-728-7 (L01S03),185.67562068,DANA POINT
L01-730-1,32.58238943,RANCHO SANTA MARGARITA
L01-733-2,120.42916661,ORANGE CO
L01-733-4,50.68731652,ORANGE CO
L01-747-1,132.61552692,SAN JUAN CAPISTRANO
L01-747-2,240.61672041,SAN JUAN CAPISTRANO
L01-748-1,99.91794386,SAN JUAN CAPISTRANO
L01-749-3,41.93011742,SAN JUAN CAPISTRANO
L01-760-1,33.51045004,ORANGE CO
L01-760-2,32.57431395,ORANGE CO
L01-766-3,369.98019559,SAN JUAN CAPISTRANO
L01-766-5,63.97582891,SAN JUAN CAPISTRANO
L01-766-7,56.73310957,SAN JUAN CAPISTRANO
L02-204-1 (L02P45),53.98208335,RANCHO SANTA MARGARITA
L02-246-1 (L11P01),228.03010278,RANCHO SANTA MARGARITA
L02-344-1,178.3182714,ORANGE CO
L02-359-1 (L02P43),92.45754976,ORANGE CO
L02-374-2 (MVL02P20),84.33765496,ORANGE CO
L02-396-1,193.73528575,MISSION VIEJO
L02-401-1,199.48492042,ORANGE CO
L02-502-6,39.57525956,SAN JUAN CAPISTRANO
L02-541-2,7.06807992,SAN JUAN CAPISTRANO
L02-541-6,17.62492719,SAN JUAN CAPISTRANO
L02-541-7,24.77553865,SAN JUAN CAPISTRANO
L02-541-9 (L02P02),222.36515452,SAN JUAN CAPISTRANO
L02-622-1 (L02P28),256.93195174,RANCHO SANTA MARGARITA
L02-640-1 (L11P02),508.84556392,RANCHO SANTA MARGARITA
L02-641-1,926.34500026,RANCHO SANTA MARGARITA
L02-641-2,926.34500026,RANCHO SANTA MARGARITA
L03-142-1 (L03P24),255.6287671,RANCHO SANTA MARGARITA
L03-316-1,22.65150986,MISSION VIEJO
L03-316-2,143.04145576,MISSION VIEJO
L03-418-1,123.71430811,LAGUNA NIGUEL
L03-418-3,6.6378544,LAGUNA NIGUEL
L03-418-8,210.54842175,LAGUNA NIGUEL
L03-455-2,45.63681477,SAN JUAN CAPISTRANO
