JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ORANGE CO,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,"Indeno[1,2,3-cd]pyrene",ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Malathion,ng/L,0.036182847757559755,0.036182847757559755
ORANGE CO,Dissolved,Malathion,ng/L,0.036182847757559755,0.036182847757559755
ORANGE CO,Total,Merphos,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,Merphos,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,Methoxychlor,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Methoxychlor,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Methyl Parathion,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,Methyl Parathion,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,Mevinphos (Phosdrin),ng/L,0.005879406541512756,0.005879406541512756
ORANGE CO,Dissolved,Mevinphos (Phosdrin),ng/L,0.005879406541512756,0.005879406541512756
ORANGE CO,Total,Mirex,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Mirex,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Naphthalene,ng/L,0.002049419384677935,0.002049419384677935
ORANGE CO,Dissolved,Naphthalene,ng/L,0.002049419384677935,0.002049419384677935
ORANGE CO,Total,Phenanthrene,ng/L,0.002472719157433099,0.002472719157433099
ORANGE CO,Dissolved,Phenanthrene,ng/L,0.002472719157433099,0.002472719157433099
ORANGE CO,Total,Phorate,ng/L,0.005879406541512756,0.005879406541512756
ORANGE CO,Dissolved,Phorate,ng/L,0.005879406541512756,0.005879406541512756
ORANGE CO,Total,Pyrene,ng/L,0.00543087212840438,0.00543087212840438
ORANGE CO,Dissolved,Pyrene,ng/L,0.00543087212840438,0.00543087212840438
ORANGE CO,Total,Tetrachlorvinphos (Stirofos),ng/L,0.002351762616605102,0.002351762616605102
ORANGE CO,Dissolved,Tetrachlorvinphos (Stirofos),ng/L,0.002351762616605102,0.002351762616605102
