globalid,facilityid,area_acres
{1DD94BB3-1E3E-4098-830C-B07E743D4614},J05-9255-1 (J05P01),70.04513345
{156E8628-52C8-4F5D-86D8-1BA1B990F7D3},J05-9271-1,1.80398688
{AE847B3F-92BE-48F0-86B4-9C07B4E04C1A},J05-9271-2,4.00838433
{A7E5B846-83C3-44C8-9AA7-71347E8D8652},J05-9271-3,1.71638029
{BDBECACA-4255-44DC-AEF6-86EBECD39C1E},J05-9271-4,2.65268191
{8FF9A401-BD2C-43DB-AE2F-D898524807B5},J05-9271-5,7.25779426
{43ADD782-AB7E-4D6C-BA9E-7CF63B078A74},J05-9271-7,8.81938539
{6317254E-C28B-4DF8-BC21-43879FCD05CB},J05-9800-1,21.10635597
{C4431658-D530-4C6A-90D8-895007CC8CA0},J05-9800-2,25.47292658
{610AA1B9-8B8A-49AD-94BF-6831348C121D},J06-9362-1,1358.97161786
{93A08118-071A-458D-AB01-B3D1733F497B},J07-9019-2,0.93842771
{C31EDF9E-7E2E-4D84-8B12-E5460CE17E95},J07-9019-3,20.81810074
{CCF14968-CCC6-4FA4-A953-28DD8F3C67C3},J07-9022-1,82.52382766
{CFCABDB9-E217-4655-AAA4-3AFA7FB75A60},J07-9022-2,41.72500997
{BE2D72CA-F60F-46D5-80CC-121C57684D0F},J07-9022-3,46.75869138
{E991D2D6-9646-423D-AC7D-87F688E5AF46},J07-9022-4,42.07555958
{29DE681F-E9C1-4192-8895-2E4332E8E7D0},J07-9110-1,102.11849185
{10CEBD67-47DF-497D-A3AF-F701610819FB},K01-12032-1,2.46331886
{7881D639-2408-49CE-97A0-E78AB45620C1},K01-12032-2 (K01P11),126.84724993
{3EC7E451-A915-4ACF-92DD-848064F45911},K01-12032-3,18.12903161
{B56D8F38-432E-40DB-A087-CA70910BED58},K01-12036-1,137.80531846
{1D57162B-5BA1-4120-BC75-247B3ACE27F6},K01-12036-10,185.37165068
{0812F196-4E29-473E-884A-CCE8A758474C},K01-12036-5,28.07626103
{C2735B28-EEBC-483F-89A3-0DD4557BE10E},K01-12036-8,17.60097326
{05D4DE75-8B9D-439F-857C-218C2D6768E2},K01-12036-9,30.94310038
{5D3F3C99-CDBD-4CF3-B8CE-F2A3F4C78925},K01-12058-1 (K01P08),329.52135056
{4E9D7361-1233-41E9-8EDE-6C9AF9689068},K01-12138-1 (K01TBN1),90.83218137
{A8C70C6D-CBD7-4C2B-87FF-CA4AC8B02D2B},K01-12155-1,63.75808645
{C54F3E21-6F83-486A-8E21-15CCCD4861B2},K01-12155-2,13.1856151
{BEF18E99-B9BB-4B42-A773-1DF6979F6EC8},K01-12155-5,147.04555016
{BA608077-FBAE-47E1-A0A0-CE6A97C8C3D2},L00-12094-1 (L00P01),130.49892579
{45BB9085-69BE-40A4-8EF0-EFD43CC680A8},L01-125-1,362.07575558
{35ED810D-4731-4B68-9AD7-E8DB1E3C7E7D},L01-125-2,113.27048633
{07773559-28FB-4907-A07D-2F6490EF0908},L01-125-3,69.26665813
{F6AE4B47-DAC7-4AAA-AF1C-184587520865},L01-218-1,66.55096754
