FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE
J01-9275-2,MISSION VIEJO,2.125388846,2.125378824,4.973711762
J01-9275-3,LAKE FOREST,79.36374096,24.582468,100
J01-9313-1,ALISO VIEJO,140.2172729,136.3028343,99.21825221
J01-9313-1,ORANGE CO,1.073942056,1.073938299,0.781746628
J01-9349-1,LAKE FOREST,224.7127195,69.60348856,99.85177608
J01-9349-1,MISSION VIEJO,0.103322473,0.103321986,0.14822366
J01-9359-1 (J01P32),LAKE FOREST,13.07526387,4.049988721,100
J01-9359-2,LAKE FOREST,57.72928975,17.88131961,98.94101204
J01-9359-2,MISSION VIEJO,0.19138853,0.191387627,1.058987029
J01-9364-3,ALISO VIEJO,172.3457747,167.5344063,99.79799461
J01-9364-3,LAGUNA NIGUEL,0.338490288,0.33848462,0.20163074
J01-9364-3,ORANGE CO,0.000629123,0.00062912,0.000374759
J01-9364-4,ALISO VIEJO,43.02203244,41.82098851,98.79141639
J01-9364-4,ORANGE CO,0.511626536,0.511624746,1.208582942
J01-9377-1,LAKE FOREST,109.0691746,33.78355736,98.07444602
J01-9377-1,MISSION VIEJO,0.663295369,0.663292241,1.925552671
J01-9377-2 (J01TBN8),LAKE FOREST,214.1390631,66.32835854,67.39420978
J01-9377-2 (J01TBN8),MISSION VIEJO,32.09027528,32.09012396,32.60579025
J01-9782-1 (J01TBN3),LAKE FOREST,45.13515458,13.98035778,45.38061266
J01-9782-1 (J01TBN3),MISSION VIEJO,16.82661742,16.82653807,54.6193895
J01-9785-1,LAKE FOREST,68.62625727,21.25659341,100
J01-9992-1,ALISO VIEJO,568.0809311,552.2218442,99.70754793
J01-9992-1,ORANGE CO,1.619726429,1.619720764,0.292452005
J03-9199-1,LAGUNA HILLS,189.2164238,155.6042381,20.02561813
J03-9199-1,LAGUNA NIGUEL,616.9523625,616.9420316,79.39787299
J03-9199-1,SAN JUAN CAPISTRANO,4.479625792,4.479622586,0.576508792
J03-9215-1,LAGUNA NIGUEL,65.12940169,65.12831109,100
J03-9215-2,LAGUNA NIGUEL,4.078345105,4.078276812,100
J03-9215-3,LAGUNA NIGUEL,155.2902966,155.2876962,100
J03-9216-1 (J03P01),LAGUNA NIGUEL,13.41191678,13.41169219,100
J03-9216-2,LAGUNA NIGUEL,1121.628952,1121.61017,99.85072453
J03-9216-2,SAN JUAN CAPISTRANO,1.676792619,1.676791419,0.149275428
J03-9221-1 (J03P02),LAGUNA NIGUEL,565.719346,565.709873,100
J03-9234-1,LAGUNA NIGUEL,10.94771266,10.94752933,100
J03-9234-3,LAGUNA NIGUEL,30.28427071,30.28376359,100
J03-9234-5,LAGUNA NIGUEL,131.5020101,131.499808,100
J03-9234-6,LAGUNA NIGUEL,230.4180534,230.414195,99.27752823
J03-9234-6,SAN JUAN CAPISTRANO,1.676792619,1.676791419,0.722471579
J03-9368-1 (J03TBN1),LAGUNA NIGUEL,91.152289,91.15076265,98.70823565
J03-9368-1 (J03TBN1),SAN JUAN CAPISTRANO,1.192862982,1.192862129,1.291764465
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,34.23182653,34.23125331,100
J04-9249-1,ALISO VIEJO,136.4020962,132.5941657,8.068009599
