Accessibility,Facility Identifier,JURISDICTI,Area (Acres),SIZE1,INSPECTED,GlobalID,PERSISTENTFLOW,POINT_Y,POINT_X
Easily accessible,M02-061-4 (SCBS@M02),SAN CLEMENTE,90.38163929,60,1,{C461CAC3-1849-40E8-B3F7-D3281D347977},Yes,33.43367715,-117.627257
Easily accessible,M02-061-5,SAN CLEMENTE,3.75049186,36,1,{CDF7BCAC-53C5-4BB5-A35D-E02581964FBA},Unknown,33.43438104,-117.6263976
Easily accessible,M02-061-6,SAN CLEMENTE,40.9633321,36,1,{4D37DA87-C486-40DA-A876-48258EA473E1},Yes,33.43589655,-117.6245973
Difficult accessibility,M02-061-7,SAN CLEMENTE,NA,NA,3,{225C2BC1-A627-451E-AB2E-10DD6A27CC31},Yes,33.433376,-117.631307
Easily accessible,M02-085-1 (M02P06),SAN CLEMENTE,372.5970632,48,1,{646C237D-26C0-4619-ADE0-A6C6ECD59481},Yes,33.4583462,-117.5945829
Easily accessible,M02-085-2,SAN CLEMENTE,199.8681456,96,1,{1D128A62-EF51-4A28-936B-8E020EBC129D},Yes,33.45804389,-117.59425
Easily accessible,M02-086-1,SAN CLEMENTE,50.74833146,36,1,{F86F746E-958B-4AF4-8B9D-F230E1352261},Unknown,33.47727634,-117.5999451
Easily accessible,M02-102-1,SAN CLEMENTE,4825.001183,NA,1,{C05A5DC6-D4EB-49A6-9228-7A922FA90F1E},Yes,33.43161834,-117.6327248
Easily accessible,M02-142-1,SAN CLEMENTE,NA,36,3,{EC5901D7-35FC-4050-9794-9A9E94520BB5},Unknown,33.43629495,-117.6241175
Difficult accessibility,SC01-077-1,SAN CLEMENTE,48.74950277,36,1,{8214846F-F581-46C0-852B-22F6222E000C},Yes,33.39614784,-117.5998754
Difficult accessibility,SC01-077-2,SAN CLEMENTE,NA,84,1,{F83925F7-70B4-4C25-8F17-86AD7D1BE492},Unknown,33.39148096,-117.5979348
Easily accessible,SC02-072-1,SAN CLEMENTE,4.79491375,42,3,{8A0FEF34-0DE6-4AF1-B1AB-92EF23F35237},Unknown,33.40068822,-117.6029854
Difficult accessibility,SC02-072-4,SAN CLEMENTE,NA,36,1,{AFE85465-D874-46F9-8D88-24275FC65B8E},Unknown,33.399938,-117.60114
Easily accessible,SC03-067-1,SAN CLEMENTE,174.7123726,24,1,{9F0C26C8-D63A-4809-AD72-C714A780C1C6},Unknown,33.40519078,-117.6066121
Difficult accessibility,SC05-073-1,SAN CLEMENTE,124.4364959,48,1,{665C8249-2626-4CF7-81EA-645A6B98A96D},Unknown,33.41311138,-117.6138438
Difficult accessibility,SC05-073-3,SAN CLEMENTE,30.16696063,36,1,{42902E2B-56C6-4060-A36D-AEA18B64156E},Unknown,33.41574234,-117.6123872
Easily accessible,SC06-146-1 (M00P02),SAN CLEMENTE,26.41299244,36,1,{839E2352-454E-4F0A-8BF2-3ECBF7506A2F},Yes,33.41717441,-117.6177796
Easily accessible,SC06-146-2 (M00P02),SAN CLEMENTE,325.8067606,60,1,{39F60971-71F5-4FB5-A552-55C3B268E8F1},Unknown,33.41781803,-117.617891
Easily accessible,SC07-079-4,SAN CLEMENTE,1.06690053,42,1,{2469619B-A75B-4EF1-A5FC-DCC2D95A044B},Yes,33.4250565,-117.6261187
Easily accessible,SC07-079-5,SAN CLEMENTE,29.94605554,48,1,{03864DBD-D87D-474A-A6EE-7F78E41DD1AA},Unknown,33.42428978,-117.6252889
Difficult accessibility,SC09-081-2d,SAN CLEMENTE,NA,48,1,{E9218AF6-1B54-445E-9A38-6540931E914C},Unknown,33.43542826,-117.6377863
Difficult accessibility,SC10-075-1 (M00P05),DANA POINT,83.2555747,NA,1,{A312578F-E3A9-4101-A4A6-AD6BB12708E1},Yes,33.45357005,-117.6649535
Difficult accessibility,SC10-075-3 (M00S01),DANA POINT,NA,NA,1,{92FD4B23-81CC-4502-900C-CEB7FD1AB061},Yes,33.45041126,-117.6596676
Easily accessible,SC11-026-1 (M00P01),DANA POINT,305.3881188,NA,1,{7BC19F3E-F96A-4680-97D9-CFCD38CE4F28},Unknown,33.45392453,-117.6664841
Easily accessible,SC11-035-1d,DANA POINT,NA,36,1,{3B52E0AD-1DF2-44A3-B49D-8D34966FF565},Unknown,33.45964061,-117.6756723
Easily accessible,SC11-035-2d,DANA POINT,NA,36,1,{0E4D95D6-8AD7-457D-929B-ABD734ED7531},Unknown,33.45863064,-117.673995
Easily accessible,SC11-035-3d,DANA POINT,NA,36,1,{BBC10ACC-C12B-4BF8-854C-F341793E1E96},Unknown,33.45703154,-117.6711216
Easily accessible,SC11-130-2,DANA POINT,NA,42,1,{DE0020F6-684A-482B-8896-B9B1BD8DEE8C},Unknown,33.455718,-117.669171
Easily accessible,SC12-068-2,SAN CLEMENTE,81.31475636,36,1,{98B44F39-2446-4B60-A2A7-E75C37BDE055},Unknown,33.42061031,-117.6210164
Easily accessible,SC12-068-4,SAN CLEMENTE,16.13226718,36,1,{8EA7D45C-F7B0-4458-86E9-AD604FC84803},Unknown,33.41953035,-117.6202019
Difficult accessibility,SM01-086-1 (M03P01),SAN CLEMENTE,219.4891214,42,1,{51E3B119-6EF4-4695-B9F3-3FFABED66286},Yes,33.45603356,-117.5736422
Inaccessible,SM01-086-2,SAN CLEMENTE,NA,42,1,{3F28F93D-68A5-4355-B7E9-8E704FB9707E},Unknown,33.45608122,-117.5732708
