LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,jurisdicti,acres_juris_soc,objectid,shape_area,acres,percentage
UTIL,40,Commercial,business,0.486,RANCHO SANTA MARGARITA,8280.210526037783,179,2632406.8697198695,60.43198804818498,0.7298334520655249
UTIL,40,Commercial,business,0.486,SAN CLEMENTE,11739.016173821115,197,3527141.530524577,80.97235167890325,0.6897684319610539
UTIL,40,Commercial,business,0.486,SAN JUAN CAPISTRANO,9220.309393249185,216,2135635.273957908,49.02763582471607,0.5317331298043556
RESSFH,50,Single Family Residential,single family,0.405,ALISO VIEJO,4298.475848550746,13,25487066.48764611,585.1048768645068,13.611860507361232
RESSFH,50,Single Family Residential,single family,0.405,DANA POINT,4071.5603518392577,29,62649019.03639969,1438.2293304230404,35.32364629844621
RESSFH,50,Single Family Residential,single family,0.405,LAGUNA BEACH,5632.041056195566,53,81762560.0248516,1877.0176096435464,33.32735118320555
RESSFH,50,Single Family Residential,single family,0.405,LAGUNA HILLS,3498.3869598294223,70,74995018.8012777,1721.6556194272923,49.21264435812003
RESSFH,50,Single Family Residential,single family,0.405,LAGUNA NIGUEL,9463.77397689814,87,120473862.96012405,2765.7103961667035,29.224063677846537
RESSFH,50,Single Family Residential,single family,0.405,LAGUNA WOODS,756.0075788948667,101,947.3630227722664,0.02174854940853365,0.00287675190323025
RESSFH,50,Single Family Residential,single family,0.405,LAKE FOREST,3303.943394927112,115,32928865.21132352,755.9457513126612,22.880014490967284
RESSFH,50,Single Family Residential,single family,0.405,MISSION VIEJO,11525.934391435894,131,174780927.58872682,4012.434038442024,34.81208423070032
RESSFH,50,Single Family Residential,single family,0.405,ORANGE CO,94761.16101626148,157,137616902.2984654,3159.262001095639,3.333907404868255
RESSFH,50,Single Family Residential,single family,0.405,RANCHO SANTA MARGARITA,8280.210526037783,176,50795878.09547452,1166.1175684021223,14.083131102398644
RESSFH,50,Single Family Residential,single family,0.405,SAN CLEMENTE,11739.016173821115,192,137573782.57195565,3158.272104424629,26.903953658331258
RESSFH,50,Single Family Residential,single family,0.405,SAN JUAN CAPISTRANO,9220.309393249185,211,110063759.10306366,2526.7263397479537,27.4038117929392
RESSFL,51,Single Family Residential,single family,0.405,ALISO VIEJO,4298.475848550746,14,176317.3439348325,4.047705445507899,0.09416568563638684
RESSFL,51,Single Family Residential,single family,0.405,DANA POINT,4071.5603518392577,30,22759.377797805937,0.5224855104589129,0.01283251076661403
RESSFL,51,Single Family Residential,single family,0.405,IRVINE,96.05123754093846,40,433.49649156879246,0.00995174989807072,0.01036083484803553
RESSFL,51,Single Family Residential,single family,0.405,LAGUNA BEACH,5632.041056195566,54,34737.872816893054,0.7974750176492467,0.0141595528121213
RESSFL,51,Single Family Residential,single family,0.405,LAKE FOREST,3303.943394927112,116,307433.1049850374,7.057721182762778,0.2136142211983016
RESSFL,51,Single Family Residential,single family,0.405,MISSION VIEJO,11525.934391435894,132,299009.72691698506,6.864346257104704,0.05955542142290452
RESSFL,51,Single Family Residential,single family,0.405,ORANGE CO,94761.16101626148,158,66039004.55050377,1516.0530006270535,1.5998610824966084
RESSFL,51,Single Family Residential,single family,0.405,SAN CLEMENTE,11739.016173821115,193,8066.567615642432,0.18518365202042456,0.00157749941344768
RESSFL,51,Single Family Residential,single family,0.405,SAN JUAN CAPISTRANO,9220.309393249185,212,37110.593762151046,0.8519454133372688,0.00923984184503383
RESMF,52,Multi-family Residential,multi-family,0.485,ALISO VIEJO,4298.475848550746,12,34632233.57780915,795.0498647189866,18.496013762430746
RESMF,52,Multi-family Residential,multi-family,0.485,DANA POINT,4071.5603518392577,28,18614677.387267895,427.3359009687976,10.495587801710029
RESMF,52,Multi-family Residential,multi-family,0.485,LAGUNA BEACH,5632.041056195566,52,10230897.120995488,234.87001939179856,4.170230251682754
RESMF,52,Multi-family Residential,multi-family,0.485,LAGUNA HILLS,3498.3869598294223,69,8460019.089529093,194.21609113193236,5.551567522359345
RESMF,52,Multi-family Residential,multi-family,0.485,LAGUNA NIGUEL,9463.77397689814,86,31061015.253586497,713.0656450417872,7.534655778156843
RESMF,52,Multi-family Residential,multi-family,0.485,LAGUNA WOODS,756.0075788948667,100,22365508.757715393,513.4434853080536,67.91485242604521
RESMF,52,Multi-family Residential,multi-family,0.485,LAKE FOREST,3303.943394927112,114,17154350.644517254,393.8112778265768,11.919384066558091
RESMF,52,Multi-family Residential,multi-family,0.485,MISSION VIEJO,11525.934391435894,130,25770715.982355837,591.6165993004826,5.132896065034332
RESMF,52,Multi-family Residential,multi-family,0.485,NEWPORT BEACH,130.0087677517211,142,463561.3900364918,10.641947756832296,8.185528847874918
RESMF,52,Multi-family Residential,multi-family,0.485,ORANGE CO,94761.16101626148,156,18668336.845115256,428.56775754560744,0.4522591731466306
RESMF,52,Multi-family Residential,multi-family,0.485,RANCHO SANTA MARGARITA,8280.210526037783,175,19727559.07540029,452.88425128267505,5.469455617382631
RESMF,52,Multi-family Residential,multi-family,0.485,SAN CLEMENTE,11739.016173821115,191,29538309.869150847,678.1089996038748,5.776517189599044
RESMF,52,Multi-family Residential,multi-family,0.485,SAN JUAN CAPISTRANO,9220.309393249185,210,18704791.15188883,429.40463662254126,4.657142192214367
TRANS,60,Streets and Roads,surface street,0.471,ALISO VIEJO,4298.475848550746,15,28418366.152526453,652.3985267753005,15.177377753646368
TRANS,60,Streets and Roads,surface street,0.471,DANA POINT,4071.5603518392577,31,29070204.259498112,667.3627305019284,16.390769223209652
TRANS,60,Streets and Roads,surface street,0.471,LAGUNA BEACH,5632.041056195566,55,24027277.17191547,551.5925913983584,9.793791975706894
TRANS,60,Streets and Roads,surface street,0.471,LAGUNA HILLS,3498.3869598294223,71,26651231.66772678,611.8305388653184,17.48886268360211
TRANS,60,Streets and Roads,surface street,0.471,LAGUNA NIGUEL,9463.77397689814,88,52862192.44071784,1213.5538083131762,12.823097392912924
TRANS,60,Streets and Roads,surface street,0.471,LAGUNA WOODS,756.0075788948667,102,2756710.0365148634,63.285607515796386,8.37099470168409
TRANS,60,Streets and Roads,surface street,0.471,LAKE FOREST,3303.943394927112,117,20273151.888251603,465.4093889141974,14.086425572335523
TRANS,60,Streets and Roads,surface street,0.471,MISSION VIEJO,11525.934391435894,133,75013802.93554692,1722.086845538541,14.940914104782712
TRANS,60,Streets and Roads,surface street,0.471,NEWPORT BEACH,130.0087677517211,143,34020.74523569461,0.7810119678393895,0.600735517535357
TRANS,60,Streets and Roads,surface street,0.471,ORANGE CO,94761.16101626148,159,73652642.6017678,1690.8387789995877,1.7843090961718795
TRANS,60,Streets and Roads,surface street,0.471,RANCHO SANTA MARGARITA,8280.210526037783,177,35407169.012470596,812.8400055457195,9.8166194160513
TRANS,60,Streets and Roads,surface street,0.471,SAN CLEMENTE,11739.016173821115,194,64546985.272364765,1481.8008140743902,12.622820046722266
TRANS,60,Streets and Roads,surface street,0.471,SAN JUAN CAPISTRANO,9220.309393249185,213,34564474.33343311,793.4943202879987,8.60590585924221
TRFWY,61,Freeway,highway/arterial,0.45,ALISO VIEJO,4298.475848550746,16,9699358.700617785,222.66752750617496,5.180129996822683
TRFWY,61,Freeway,highway/arterial,0.45,DANA POINT,4071.5603518392577,32,2281073.067714833,52.36644150676027,1.2861465265410632
TRFWY,61,Freeway,highway/arterial,0.45,IRVINE,96.05123754093846,41,1821168.2666604829,41.808437818076314,43.5270504106446
TRFWY,61,Freeway,highway/arterial,0.45,LAGUNA BEACH,5632.041056195566,56,2495397.849296308,57.28668115054294,1.0171525994298125
TRFWY,61,Freeway,highway/arterial,0.45,LAGUNA HILLS,3498.3869598294223,72,4346344.783133087,99.7787458348112,2.8521243609109512
TRFWY,61,Freeway,highway/arterial,0.45,LAGUNA NIGUEL,9463.77397689814,89,3542307.0803506677,81.32050618965789,0.8592785616654386
TRFWY,61,Freeway,highway/arterial,0.45,LAKE FOREST,3303.943394927112,118,2856583.0239424375,65.57838499331527,1.9848440133909833
TRFWY,61,Freeway,highway/arterial,0.45,MISSION VIEJO,11525.934391435894,134,22959325.55558089,527.0756977309144,4.572935881205977
TRFWY,61,Freeway,highway/arterial,0.45,NEWPORT BEACH,130.0087677517211,144,222575.86801338525,5.109659281899179,3.930226346764868
TRFWY,61,Freeway,highway/arterial,0.45,ORANGE CO,94761.16101626148,160,7316627.944659914,167.96733726491033,0.17725264612092417
TRFWY,61,Freeway,highway/arterial,0.45,RANCHO SANTA MARGARITA,8280.210526037783,178,15809390.49207338,362.9351177645791,4.3831453908603635
TRFWY,61,Freeway,highway/arterial,0.45,SAN CLEMENTE,11739.016173821115,195,10353976.561154127,237.6955458490501,2.0248255181545294
TRFWY,61,Freeway,highway/arterial,0.45,SAN JUAN CAPISTRANO,9220.309393249185,214,9952416.567119328,228.47695998404564,2.4779650696364097
TROTH,62,Streets and Roads,surface street,0.471,ALISO VIEJO,4298.475848550746,17,20.537089911177972,4.7146859641377e-4,1.0968229836634612e-5
