"","Station","Collected Date","HSN","Fraction","Sample Type","Composite Start Time","Composite End Time","Stormflow Volume -cf","2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L","Acenaphthene - ng/L","Acenaphthylene - ng/L","Aldrin - ng/L","Anthracene - ng/L","Azinphos Methyl - ng/L","Benz[a]anthracene - ng/L","Benzo[a]pyrene - ng/L","Benzo[b]fluoranthene - ng/L","Benzo[g,h,i]perylene - ng/L","Benzo[k]fluoranthene - ng/L","BHC-alpha - ng/L","BHC-beta - ng/L","BHC-delta - ng/L","BHC-gamma - ng/L","Biphenyl - ng/L","Bolstar (Sulprofos) - ng/L","Chlordane-alpha - ng/L","Chlordane-gamma - ng/L","Chlorpyrifos - ng/L","Chrysene - ng/L","Demeton - ng/L","Diazinon - ng/L","Dibenz[a,h]anthracene - ng/L","Dibenzothiophene - ng/L","Dichlorvos - ng/L","Dieldrin - ng/L","Dimethoate - ng/L","Disulfoton - ng/L","Endosulfan-I - ng/L","Endosulfan-II - ng/L","Endosulfan Sulfate - ng/L","Endrin - ng/L","Endrin Aldehyde - ng/L","Ethoprop (Ethoprofos) - ng/L","Ethyl Parathion - ng/L","Fenchlorphos (Ronnel) - ng/L","Fensulfothion - ng/L","Fenthion - ng/L","Fluoranthene - ng/L","Fluorene - ng/L","Heptachlor - ng/L","Heptachlor Epoxide - ng/L","Indeno[1,2,3-cd]pyrene - ng/L","Malathion - ng/L","Merphos - ng/L","Methoxychlor - ng/L","Methyl Parathion - ng/L","Mevinphos (Phosdrin) - ng/L","Mirex - ng/L","Naphthalene - ng/L","Phenanthrene - ng/L","Phorate - ng/L","Pyrene - ng/L","Tetrachlorvinphos (Stirofos) - ng/L","Tokuthion (Prothiofos) - ng/L","Toxaphene - ng/L","trans-Nonachlor - ng/L","Trichloronate - ng/L","Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L","Dissolved Organic Carbon - mg/L","Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L","MBAS - mg/L","Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L","Total Organic Carbon (TOC) - mg/L","Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L","Chloride - mg/L","Nitrate + Nitrite as N - mg/L","Nitrogen, Total Kjeldahl - mg/L","Orthophosphate as P - mg/L","pH","Phosphorus as PO4 - mg/L","SpecificConductivity","Sulfate - mg/L","Temperature","Total Dissolved Solids - mg/L","VSS - mg/L","TSS - mg/L","Turbidity - NTU","Enterococcus - CFU/100 mL","E. coli - CFU/100 mL","Fecal coliforms - CFU/100 mL","Total Coliforms - CFU/100 mL","TN - mg/L","Field Specific Conductivity","Field Dissolved Oxygen","Field pH","Field Temperature","Field Turbidity - NTU","...1","GlobalID_tribarea","area_acres","OBJECTID","IN_FID","NEAR_FID","NEAR_DIST","OBJECTID_outfall","GlobalID","LOCDESC","OBJECTID_hydstra","station","Rain_Gage_Total","Composite Begin","Composite End","Rain_Event_Total"
"11","J01-9992-1 (J01P27)",2022-11-08 12:46:00,2572007,"Dissolved","Composite",2022-11-07 17:00:00,2022-11-08 12:30:00,771517.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,"0.97",NA,1.3,12,NA,NA,"26","<0.2",NA,"14",NA,"<0.05",5.5,"12","<0.2","<0.2",NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,"{62405ECA-C5C8-487E-B695-4FCC395FFA58}",553.84107573,11,11,29,9036.131335,11,"{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}","J01P27; Woodfield Park",29,"SULPHURCREEK",26.64,2022-11-07,2022-11-08,3.54
"12","J01-9992-1 (J01P27)",2022-11-08 12:46:00,2572003,"Total","Composite",2022-11-07 17:00:00,2022-11-08 12:30:00,771517.5,"<2","<2","<2","<2","<2","<5","<5","<5","<5","<5","<10","<5","J3.89","<5","7.71","<5","<5","<5","<5","<5","J3.14","<4","<2","<2","<1","5.92","<2","<1","<5","7.57","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J4.21","J2.67","<5","<5","<5","<5","<2","<5","<2","<10","<5","7.75","J2.86","<10","8.8800000000000008","<4","<6","65.7","<2","<2",5.2,"1.1000000000000001",82.4,3.4,14,12,302,"1100","0.66",23.4,"27","9.9000000000000005E-2","<0.05",7.2,"12","<0.2","<0.2",12,82,"0.18",150,5.3,1.4,"0.43","H7.38",1.8,1200,200,"H20.9",630,"<10",37,22,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,367,"{62405ECA-C5C8-487E-B695-4FCC395FFA58}",553.84107573,11,11,29,9036.131335,11,"{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}","J01P27; Woodfield Park",29,"SULPHURCREEK",26.64,2022-11-07,2022-11-08,3.54
"13","J03-9216-2",2022-12-12 11:57:00,2612014,"Dissolved","Composite",2022-12-11 03:58:00,2022-12-12 02:58:00,859135.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"0.86",NA,0.87,8.8,NA,NA,"120","0.21",NA,"47",NA,"<0.05",5.8,"1.4","<0.2","<0.2",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"{937976FA-29DD-484B-8AA4-9F81D9CFC877}",1123.28596907,495,495,29,8071.272419,495,"{BDBAD671-CCD0-47D1-B121-7ED3242CBA94}","J03P01in; 8x10 box channel in Crown Valley Park",29,"SULPHURCREEK",26.64,2022-12-11,2022-12-12,3.48
"14","J03-9216-2",2022-12-12 11:57:00,2612004,"Total","Grab",NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,">=11600",">=17400",">=104000",NA,NA,NA,NA,NA,NA,81,"{937976FA-29DD-484B-8AA4-9F81D9CFC877}",1123.28596907,495,495,29,8071.272419,495,"{BDBAD671-CCD0-47D1-B121-7ED3242CBA94}","J03P01in; 8x10 box channel in Crown Valley Park",29,"SULPHURCREEK",26.64,NA,NA,NA
"15","J03-9216-2",2022-12-12 11:57:00,2612009,"Total","Composite",2022-12-11 03:58:00,2022-12-12 02:58:00,859135.5,"<2","<2","<2","<2","<2","J1.1100000000000001","J3.06","<5","<5","J3.3","<10","J1.23","<5","<5","10.8","<5","<5","<5","<5","<5","J3.27","<4","<2","<2","<1","J3.85","<2","<1","<5","5.86","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","40","<4","<2","<4","11.9","J2.4300000000000002","<5","<5","7.22","15.4","<2","<5","<2","<10","<5","9.5399999999999903","14.2","<10","18.600000000000001","<4","<6","<25","<2","<2",1.5,"1.4",62.9,3.3,17,8.8,258,"1500","1.4",24.6,"100","0.16","<0.05",8.19999999999999,"1.4","<0.2","<0.2",10,65,"0.24",95,1.4,1,"0.25","H7.56",1.9,930,180,"H18.2",550,"9.6999999999999904",38,20,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,81,"{937976FA-29DD-484B-8AA4-9F81D9CFC877}",1123.28596907,495,495,29,8071.272419,495,"{BDBAD671-CCD0-47D1-B121-7ED3242CBA94}","J03P01in; 8x10 box channel in Crown Valley Park",29,"SULPHURCREEK",26.64,2022-12-11,2022-12-12,3.48
"16","J07-9109-4 (J07P02)",2022-11-08 09:17:00,2570002,"Total","Grab",NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19600,"7500","6700",">=38000",NA,NA,NA,NA,NA,NA,337,"{03BDF6DE-AEFE-4B0B-B433-05D6CB603581}",394.92574829,299,299,30,12630.26776,299,"{D0C41BF9-0216-43F4-8129-6EAC01EF1A03}","J07P02",30,"ELTORO",27.13,NA,NA,NA
"17","J07-9109-4 (J07P02)",2022-11-09 08:55:00,2572006,"Dissolved","Composite",2022-11-07 16:40:00,2022-11-08 15:55:00,28619.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,"0.46",NA,1.2,11,NA,NA,"49","<0.2",NA,"5.4",NA,"<0.05",2.4,"0.55000000000000004","<0.2","<0.2",NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,"{03BDF6DE-AEFE-4B0B-B433-05D6CB603581}",394.92574829,299,299,30,12630.26776,299,"{D0C41BF9-0216-43F4-8129-6EAC01EF1A03}","J07P02",30,"ELTORO",27.13,2022-11-07,2022-11-08,4.34
"18","J07-9109-4 (J07P02)",2022-11-09 08:55:00,2572002,"Total","Composite",2022-11-07 16:40:00,2022-11-08 15:55:00,28619.4,"<2","<2","<2","<2","<2","<5","<5","<5","<5","<5","<10","J1.1000000000000001","J2.23","J4.25","20.399999999999899","<5","<5","<5","<5","<5","J2.5299999999999998","<4","<2","<2","<1","8.18","<2","<1","<5","6.13","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","7.03","<5","<5","<5","<5","<5","<2","<5","<2","<10","<5","9.1999999999999904","5.9","<10","18.899999999999899","<4","<6","45.7","<2","<2",1.9,"0.46",42.5,2.29999999999999,15,11,151,"670","0.82",10.9,"21","0.12","<0.05",3.1,"0.63","<0.2","<0.2",12,94,"0.16",69,1.5,1.2,"0.24","H7.43",1.1,680,120,"H21.5",420,"7.7",24,19,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,337,"{03BDF6DE-AEFE-4B0B-B433-05D6CB603581}",394.92574829,299,299,30,12630.26776,299,"{D0C41BF9-0216-43F4-8129-6EAC01EF1A03}","J07P02",30,"ELTORO",27.13,2022-11-07,2022-11-08,4.34
"19","K01-12156-4",2022-11-08 09:36:00,2570004,"Total","Grab",NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29000,"11500",">=10800",">=61000",NA,NA,NA,NA,NA,NA,327,"{69600548-71B3-42DD-82C0-FEECBD33EB65}",1412.69395318,215,215,29,16023.70933,215,"{309906B0-76A0-4415-BAED-B4E04CEE89DD}","SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls",29,"SULPHURCREEK",26.64,NA,NA,NA
"20","K01-12156-4",2022-11-09 10:00:00,2572008,"Dissolved","Composite",2022-11-07 17:38:00,2022-11-08 16:53:00,352891.200000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,"0.28999999999999898",NA,0.36,4.09999999999999,NA,NA,"70","<0.2",NA,"48",NA,"<0.05",3.1,"1.5","<0.2","<0.2",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,"{69600548-71B3-42DD-82C0-FEECBD33EB65}",1412.69395318,215,215,29,16023.70933,215,"{309906B0-76A0-4415-BAED-B4E04CEE89DD}","SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls",29,"SULPHURCREEK",26.64,2022-11-07,2022-11-08,3.54
"21","K01-12156-4",2022-11-09 10:00:00,2572004,"Total","Composite",2022-11-07 17:38:00,2022-11-08 16:53:00,352891.200000001,"<2","<2","<2","<2","<2","J1.42","<5","<5","<5","<5","<10","<5","<5","J4.22","5.76","<5","<5","<5","<5","<5","J4.92","<4","<2","<2","<1","6.82","<2","<1","<5","J4.5199999999999996","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J3.91","<5","<5","<5","<5","<5","<2","<5","<2","<10","<5","13.2","J3.65","<10","9.26","<4","<6","<25","<2","<2",2.2,"1.2",78.3,5.6,13,12,345,"3800","1.6",36.2999999999999,"170","7.1999999999999897E-2","<0.05",6.7,"1.7","<0.2","<0.2",12,47,"<0.1",210,1,1.4,"0.32","H7.35",1.6,1500,320,"H21",910,"22",120,22,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,327,"{69600548-71B3-42DD-82C0-FEECBD33EB65}",1412.69395318,215,215,29,16023.70933,215,"{309906B0-76A0-4415-BAED-B4E04CEE89DD}","SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls",29,"SULPHURCREEK",26.64,2022-11-07,2022-11-08,3.54
"22","L01-724-4 (L01P03)",2023-01-10 09:07:00,2656003,"Dissolved","Composite",2023-01-10 02:03:00,2023-01-10 23:03:00,231550.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,"1.2",NA,1.3,6.8,NA,NA,"41","<0.2",NA,"21",NA,"<0.05",6.2,"2.2000000000000002","<0.2","<0.2",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",25.29,2023-01-10,2023-01-10,3.12
"23","L01-724-4 (L01P03)",2023-01-10 09:07:00,2656006,"Dissolved","Composite",2023-01-10 02:03:00,2023-01-10 23:03:00,231550.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,"1.3",NA,1.3,6.9,NA,NA,"39","<0.2",NA,"21",NA,"<0.05",6.2,"2.2000000000000002","<0.2","<0.2",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",25.29,2023-01-10,2023-01-10,3.12
"24","L01-724-4 (L01P03)",2023-01-10 09:07:00,2649001,"Total","Grab",NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,"2500","3500",">=21000",NA,NA,NA,NA,NA,NA,323,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",25.29,NA,NA,NA
"25","L01-724-4 (L01P03)",2023-01-10 09:07:00,2649003,"Total","Grab",NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23000,"3300","3700",">=24000",NA,NA,NA,NA,NA,NA,323,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",25.29,NA,NA,NA
"26","L01-724-4 (L01P03)",2023-01-10 09:07:00,2656001,"Total","Composite",2023-01-10 02:03:00,2023-01-10 23:00:00,231550.8,"<2","<2","<2","J1.49","<2","<5","<5","<5","<5","J1.1200000000000001","<10","<5","J1.31","J2.77","J4.6399999999999997","J1.75","<5","<5","<5","<5","J1.82","<4","J0.81899999999999995","<2","<1","J3.45","<2","<1","<5","J3.56","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J4.28","J1.1299999999999999","<5","<5","J2.81","<5","<2","<5","<2","<10","<5","J4.08","J3.95","<10","6.34","<4","<6","<25","J0.84399999999999997","<2",2.9,"1.8",103,5.8,10,10,446,"3100","1.4",45.7,"65","<0.05","<0.05",8.5,"2.1","<0.2","<0.2",11,49,"<0.1",250,1.3,1.1,"0.34","H7.91",1.7,1900,340,"H20.8",1100,"14",89,45,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,323,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",25.29,2023-01-10,2023-01-10,3.12
"27","L01-724-4 (L01P03)",2023-01-10 09:07:00,2656005,"Total","Composite",2023-01-10 02:03:00,2023-01-10 23:03:00,231550.8,"<2","<2","<2","J1.89","<2","<5","<5","<5","<5","J1.1599999999999999","<10","J1.19","J1.68","J2.69","J4.6100000000000003","J1.9","<5","<5","<5","<5","J2","<4","J1.03","<2","<1","J3.77","<2","<1","<5","J3.2","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J4.8499999999999996","<5","<5","<5","J2.58","<5","<2","<5","<2","<10","<5","J4.25","J4.33","<10","8.02","<4","<6","<25","J0.80500000000000005","<2",3.1,"1.9",106,6.8,11,11,459,"3900","1.7",47.1,"74","<0.05","<0.05",9.1,"2.2000000000000002","<0.2","<0.2",11,55,"<0.1",250,1.3,1.3,"0.33","H8",1.6,1900,340,"H20.8",1100,"<20",83,44,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,323,"{4397F881-B343-464B-9EAA-09390E6E5C26}",349.72191376,238,238,24,10843.46497,238,"{1A565B60-44E0-4E2C-84FE-2362549F11C4}","L01P03",24,"PALISADES",25.29,2023-01-10,2023-01-10,3.12
"28","L01-728-5 (L01-DP)",2023-01-10 09:28:00,2649002,"Total","Grab",NA,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22000,"3000","2900",">=22000",NA,NA,NA,NA,NA,NA,377,"{D0DA33BE-2494-4995-85E6-4F0B73E68804}",24.72372499,18,18,63,4934.294031,18,"{239C7351-6675-4B26-B959-1D8B4D6371A5}","L01-DP",63,"DANAPOINT",21.31,NA,NA,NA
"29","L01-728-5 (L01-DP)",2023-01-10 09:28:00,2656002,"Total","Composite",2023-01-10 02:00:00,2023-01-10 23:00:00,28320.3,"<2","<2","<2","<2","<2","J1.03","<5","<5","<5","<5","<10","<5","<5","J2.08","J3.8","J1.24","<5","<5","<5","<5","J1.31","<4","<2","<2","<1","J2.87","<2","<1","<5","J3.06","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","J3.34","J1.81","<5","<5","J2.0099999999999998","<5","<2","<5","<2","<10","<5","J4.63","J3.98","<10","5.92","<4","<6","<25","<2","<2",1.8,"<0.2",70.5,2,12,10,263,"470","0.77",21.2,"15","7.49999999999999E-2","<0.05",3.1,"1.3","<0.2","<0.2",11,41,"<0.1",120,2.1,1.8,"0.26","H7.88",1.1,1100,170,"H21",690,"<5.6",8.1,9.19999999999999,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,377,"{D0DA33BE-2494-4995-85E6-4F0B73E68804}",24.72372499,18,18,63,4934.294031,18,"{239C7351-6675-4B26-B959-1D8B4D6371A5}","L01-DP",63,"DANAPOINT",21.31,2023-01-10,2023-01-10,2.28
"30","L01-728-5 (L01-DP)",2023-01-11 09:28:00,2656004,"Dissolved","Composite",2023-01-10 02:00:00,2023-01-10 23:00:00,28320.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,"<0.2",NA,1.4,9.9,NA,NA,"41","<0.2",NA,"7",NA,"<0.05",2.7,"1.3","<0.2","<0.2",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,"{D0DA33BE-2494-4995-85E6-4F0B73E68804}",24.72372499,18,18,63,4934.294031,18,"{239C7351-6675-4B26-B959-1D8B4D6371A5}","L01-DP",63,"DANAPOINT",21.31,2023-01-10,2023-01-10,2.28
"31","L02-166-2 (L02P25)",2022-12-12 10:15:00,2612011,"Dissolved","Grab",NA,NA,77635.2000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,"0.6",NA,1.1,6.3,NA,NA,"170","<0.2",NA,"38",NA,"<0.05",2.4,"2.1","<0.2","<0.2",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,"{3A11CF81-5CBC-49DA-954D-B3E5E34A8451}",363.95293383,6,6,65,9672.861319,6,"{FF3574C5-E460-4A7F-94BD-7DEF35298977}","L02P25",65,"TRABUCO",35.09,NA,NA,NA
"32","L02-166-2 (L02P25)",2022-12-12 10:15:00,2612001,"Total","Grab",NA,NA,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,">=7000",">=14000",">=40000",NA,NA,NA,NA,NA,NA,343,"{3A11CF81-5CBC-49DA-954D-B3E5E34A8451}",363.95293383,6,6,65,9672.861319,6,"{FF3574C5-E460-4A7F-94BD-7DEF35298977}","L02P25",65,"TRABUCO",35.09,NA,NA,NA
