FACILITYID,RC_WMAcf_M
J03-9368-2 (J03TBN2),0.23169957952935843
J04-9249-1,0.21891917471036218
J05-9255-1 (J05P01),0.20385976541169085
J05-9271-1,0.22881847434426444
J05-9271-2,0.204486643738651
J05-9271-3,0.18519674768019026
J05-9271-4,0.19499595519367519
J05-9271-5,0.19372060036685
J05-9271-7,0.18443284910382265
J05-9800-1,0.20053295440688162
J05-9800-2,0.07753583112441112
J06-10011-1 (J06P01),0.2116761320811792
J06-9079-1 (J06P03),0.2041786182305913
J06-9362-1,0.21034538555903332
J07-9019-2,0.1809292287094742
J07-9019-3,0.23012939034100177
J07-9022-1,0.22562942965470353
J07-9022-2,0.2306096861260139
J07-9022-3,0.22064775791212377
J07-9022-4,0.22126267856478007
J07-9109-2,0.17885337025610798
J07-9109-3,0.2240623648171962
J07-9109-4 (J07P02),0.22518069664130003
J07-9110-1,0.17804484152398767
J07-9110-2,0.17757706955058536
J07-9110-3,0.14537511560163155
K01-12032-1,0.25215823149097205
K01-12032-2 (K01P11),0.19782648678891912
K01-12032-3,0.1877185826230114
K01-12036-1,0.14855578437398778
K01-12036-10,0.19239787977610154
K01-12036-5,0.1908838250331658
K01-12036-8,0.1427427167937387
K01-12036-9,0.17730294175677877
K01-12046-2,0.16925921458309204
K01-12058-1 (K01P08),0.18831529844036976
K01-12058-2 (K01P09),0.1746077628937396
K01-12062-1,0.18551450078225873
K01-12126-1 (K01S01),0.19640220479529927
K01-12138-1 (K01TBN1),0.2209030385642047
K01-12155-1,0.14902221522045833
K01-12155-2,0.15048790833419254
K01-12155-5,0.1345496735649794
K01-12156-1,0.20849483778211433
K01-12156-3,0.17319252463910098
K01-12156-4,0.17794982744933818
K01-12177-1 (K01P07),0.20237760947615277
L00-12094-1 (L00P01),0.23292870969101
L01-125-1,0.15674095976579183
L01-125-2,0.08022746039491394
L01-125-3,0.1753792937526166
L01-218-1,0.1263595324120312
L01-218-2,0.16379378640086462
L01-218-3,0.20602554809329549
L01-218-4,0.2176281427852907
L01-223-1 (L08TBN1),0.17382230906904908
L01-242-1 (L07P16),0.1588986431383062
L01-261-1,0.21113589286234158
L01-335-1,0.14024981325595615
L01-340-1,0.18671624120865668
L01-372-1,0.16910942933491688
L01-391-1,0.22175503333045618
L01-391-2,0.1396503485018561
L01-391-3,0.19109788851682397
L01-404-1,0.1551563597769894
L01-414-1,0.15085870807490834
L01-414-2,0.19089161890557654
L01-414-3,0.14356379030693575
L01-458-1,0.06108866157599168
L01-471-1,0.17725536641299183
L01-494-1,0.19901335408456775
L01-514-1,0.13644118501232444
L01-517-1,0.211761029757586
L01-517-3,0.08666085282062394
L01-517-6,0.18770438207511234
L01-517-7,0.1969576964540325
L01-551-1,0.21999402039284865
L01-556-1,0.21695757658924794
L01-601-1,0.2368271683887472
L01-601-2,0.2230593354084193
L01-602-1,0.1829411774978241
L01-602-2,0.19890804821191688
L01-618-1,0.22135780728186413
L01-618-2,0.1554776024882061
L01-618-3,0.3194218631243045
L01-618-4,0.22363067399077638
L01-618-5 (L01S09),0.12515399285601236
L01-724-1 (L01S01),0.21769385984828957
L01-724-2,0.23554342573312068
L01-724-3,0.2642524005470479
L01-724-4 (L01P03),0.2093498790221276
L01-726-1,0.2771699840769269
L01-726-2,0.14086788299751163
L01-726-3,0.14258360679473361
L01-726-4,0.1613386768054559
L01-726-5,0.2385877186213452
L01-726-6,0.18442648261459493
L01-726-7,0.13681588039026807
L01-726-8,0.22982517368594482
L01-726-9,0.23610604087931453
L01-727-1 (L01S04),0.20272930088318414
L01-727-2,0.22141572302377188
L01-727-3,0.1968211827875126
L01-728-1,0.24754101748452054
L01-728-2,0.26062805420031865
L01-728-3 (L01S02),0.16879870332639965
L01-728-4,0.20141298219510043
L01-728-5 (L01-DP),0.19791064555499266
L01-728-6,0.19682118278751257
L01-728-7 (L01S03),0.20334644943716526
L01-728-8d,0.21001667240586339
L01-730-1,0.1015603746565401
L01-731-1 (L08TBN2),0.15956049135061814
L01-733-2,0.17271051532343623
L01-733-4,0.1387260805844631
L01-747-1,0.1027237345158439
L01-747-2,0.13992487520997496
L01-748-1,0.22732152508588346
L01-749-1,0.22024746488418465
L01-749-2,0.21167208191756784
L01-749-3,0.2260933530297772
L01-759-1,0.21162921973221321
L01-760-1,0.21185453290373463
L01-760-2,0.2126524458637738
L01-760-3,0.22086006734885197
L01-766-2 (L01S06),0.21308791200844532
L01-766-3,0.13787276871263598
L01-766-4,0.2393893442002494
L01-766-5,0.17616052307241686
L01-766-7,0.2163727508551763
L02-108-1,0.13674019913737906
L02-166-1 (L02PXX),0.20318234753997702
L02-166-2 (L02P25),0.21417989040354904
L02-166-3 (L02P26),0.19415288660410676
L02-204-1 (L02P45),0.21114342681074233
L02-246-1 (L11P01),0.18617827886458777
L02-344-1,0.16855552370614066
L02-359-1 (L02P43),0.21571696127742954
L02-366-1 (MVL02P14),0.21486364055883314
L02-374-1 (L02P50),0.17733046468099975
