FACILITYID,RC_M
J01-9264-1 (J01P06),0.37582411087783246
J01-9273-1,0.4838009742217852
J01-9275-1,0.2785000306843392
J01-9275-2,0.2886586426582504
J01-9275-3,0.33333912471485244
J01-9313-1,0.37494279661835794
J01-9349-1,0.30824576749801935
J01-9359-1 (J01P32),0.2683080869566149
J01-9359-2,0.23953257944111053
J01-9364-3 (J01P21),0.3723000907068529
J01-9364-4,0.10120256733537256
J01-9377-1,0.39039203410971784
J01-9377-2 (J01TBN8),0.36564870211567485
J01-9782-1 (J01TBN3),0.3827868906376246
J01-9785-1,0.48132016255512855
J01-9992-1 (J01P27),0.43090185850815593
J03-9199-1,0.3941526884497384
J03-9215-1,0.23849129220270793
J03-9215-2,0.4566760417686825
J03-9215-3,0.3948782894144523
J03-9216-1 (J03P01),0.280788001535832
J03-9216-2,0.3713237849421887
J03-9221-1 (J03P02),0.35097112265605585
J03-9234-1,0.44990100614085576
J03-9234-3,0.4190427082493415
J03-9234-5,0.35144327937119524
J03-9234-6,0.39086437780403765
J03-9368-1 (J03TBN1),0.4179298221794337
J03-9368-2 (J03TBN2),0.40922194191228667
J04-9249-1,0.40231404407802485
J05-9255-1 (J05P01),0.3973728613850883
J05-9271-1,0.4794938395110884
J05-9271-2,0.48255675199161385
J05-9271-3,0.4849849812663921
J05-9271-4,0.4837514483079065
J05-9271-5,0.48391199110797356
J05-9271-7,0.44194172851065155
J05-9800-1,0.3445755130988614
J05-9800-2,0.12219476822210891
J06-10011-1 (J06P01),0.4612598638076535
J06-9079-1 (J06P03),0.3875056510764568
J06-9362-1,0.4385082033196346
J07-9019-2,0.326818841057943
J07-9019-3,0.39956538319889306
J07-9022-1,0.4283121825829884
J07-9022-2,0.4084237839133472
J07-9022-3,0.38513718943175096
J07-9022-4,0.40019831820299745
J07-9109-2,0.3036905756852688
J07-9109-3,0.349242010628367
J07-9109-4 (J07P02),0.3981258747605368
J07-9110-1,0.3041126914149757
J07-9110-2,0.2912246323154233
J07-9110-3,0.24305324892602173
K01-12032-1,0.430006701161337
K01-12032-2 (K01P11),0.3399470173719907
K01-12032-3,0.3262288624178297
K01-12036-1,0.24562560236524802
K01-12036-10,0.3288705281191547
K01-12036-5,0.4229900696405931
K01-12036-8,0.24261430922657942
K01-12036-9,0.30229314956178494
K01-12046-2,0.3032267997715608
K01-12058-1 (K01P08),0.3405359774123475
K01-12058-2 (K01P09),0.3052331315969765
K01-12062-1,0.3256908578687585
K01-12126-1 (K01S01),0.36533618884543545
K01-12138-1 (K01TBN1),0.397015892689441
K01-12155-1,0.25466482010411645
K01-12155-2,0.2571760884824124
K01-12155-5,0.24398152920467314
K01-12156-1,0.39916189653259987
K01-12156-3,0.30134029129896367
K01-12156-4,0.3188453372859192
K01-12177-1 (K01P07),0.3701568834854609
L00-12094-1 (L00P01),0.44831670414234354
L01-125-1,0.26747402225838596
L01-125-2,0.1341064340619732
L01-125-3,0.2992906053971159
L01-218-1,0.21349073447382622
L01-218-2,0.27060240853448037
L01-218-3,0.3568296079708742
L01-218-4,0.3785756660880451
L01-223-1 (L08TBN1),0.29195081045094945
L01-242-1 (L07P16),0.2718519715219413
L01-261-1,0.37687727723077336
L01-335-1,0.20668571843188768
L01-340-1,0.32404423583055897
L01-372-1,0.2955292762483667
L01-391-1,0.38340054894069797
L01-391-2,0.2217703338499517
L01-391-3,0.3285520942216958
L01-404-1,0.26853866696732653
L01-414-1,0.2581473946699035
L01-414-2,0.326611761174781
L01-414-3,0.2432243891070526
L01-458-1,0.09679422894871217
L01-471-1,0.3027335108813739
L01-494-1,0.3474404919140381
L01-514-1,0.2354262957590023
L01-517-1,0.2514691639320345
L01-517-3,0.1413897322431652
