FACILITYID,Constituent,Fraction,Units,RC_Group,EMC_Model_LU,EMC_Model_LU_divisor,EMC_ModelOutfall_adj,AREA,EMC_Group,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,EMC,EMC_CF,EMC_Adj
J03-9216-2,Fecal coliforms,Total,CFU/100 mL,Commercial,326792.0444858067,18.13292051628124,17381.753696713193,100.52339854764983,business,0.486,0.3713237849421887,0.06054600069967782,0.07924446947190482,NA,0.0490075765834694,0.08802841737352897,COMM,0.08802841737352897,205.98939589403537,10,11600,1.5536233089214426,18022.030383488735
J03-9216-2,Fecal coliforms,Total,CFU/100 mL,Commercial,326792.0444858067,18.13292051628124,17381.753696713193,100.52339854764983,business,0.486,0.3713237849421887,NA,NA,NA,0.0490075765834694,0.08802841737352897,COMM,0.08802841737352897,205.98939589403537,10,11600,1.5536233089214426,18022.030383488735
J03-9216-2,Fecal coliforms,Total,CFU/100 mL,Commercial,326792.0444858067,18.13292051628124,17381.753696713193,2.4712993993678523,business,0.486,0.3713237849421887,0.06054600069967782,0.07924446947190482,NA,0.0490075765834694,0.08802841737352897,UTIL,0.08802841737352897,205.98939589403537,10,11600,1.5536233089214426,18022.030383488735
J03-9216-2,Fecal coliforms,Total,CFU/100 mL,Commercial,326792.0444858067,18.13292051628124,17381.753696713193,2.4712993993678523,business,0.486,0.3713237849421887,NA,NA,NA,0.0490075765834694,0.08802841737352897,UTIL,0.08802841737352897,205.98939589403537,10,11600,1.5536233089214426,18022.030383488735
J03-9216-2,TN,Total,mg/L,Commercial,32.76364571014295,18.13292051628124,2.47812550998256,100.52339854764983,business,0.486,0.3713237849421887,0.06054600069967782,0.07924446947190482,NA,0.0490075765834694,0.08802841737352897,COMM,0.08802841737352897,205.98939589403537,11,2.71,0.666737945233317,1.806859831582289
J03-9216-2,TN,Total,mg/L,Commercial,32.76364571014295,18.13292051628124,2.47812550998256,100.52339854764983,business,0.486,0.3713237849421887,NA,NA,NA,0.0490075765834694,0.08802841737352897,COMM,0.08802841737352897,205.98939589403537,11,2.71,0.666737945233317,1.806859831582289
J03-9216-2,TN,Total,mg/L,Commercial,32.76364571014295,18.13292051628124,2.47812550998256,2.4712993993678523,business,0.486,0.3713237849421887,0.06054600069967782,0.07924446947190482,NA,0.0490075765834694,0.08802841737352897,UTIL,0.08802841737352897,205.98939589403537,11,2.71,0.666737945233317,1.806859831582289
J03-9216-2,TN,Total,mg/L,Commercial,32.76364571014295,18.13292051628124,2.47812550998256,2.4712993993678523,business,0.486,0.3713237849421887,NA,NA,NA,0.0490075765834694,0.08802841737352897,UTIL,0.08802841737352897,205.98939589403537,11,2.71,0.666737945233317,1.806859831582289
J03-9216-2,TP,Total,mg/L,Commercial,9.422555542386345,18.13292051628124,0.6361666459115679,100.52339854764983,business,0.486,0.3713237849421887,0.06054600069967782,0.07924446947190482,NA,0.0490075765834694,0.08802841737352897,COMM,0.08802841737352897,205.98939589403537,12,0.34,1.528347219588488,0.519638054660086
J03-9216-2,TP,Total,mg/L,Commercial,9.422555542386345,18.13292051628124,0.6361666459115679,100.52339854764983,business,0.486,0.3713237849421887,NA,NA,NA,0.0490075765834694,0.08802841737352897,COMM,0.08802841737352897,205.98939589403537,12,0.34,1.528347219588488,0.519638054660086
