AREA,EMC_Group,RC_Group,FACILITYID,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,NA,NA,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,8,"Copper, Total",Dissolved,mg/L,0.0113,2.2451116440442827e-4,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,NA,NA,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,9,"Zinc, Total",Dissolved,mg/L,0.0201,3.993517172149565e-4,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,1,Fecal coliforms,Total,CFU/100 mL,1340,26.623447814330433,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,2,TN,Total,mg/L,35.07,0.6967793394392301,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,3,TP,Total,mg/L,1.85,0.03675625257948605,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,4,TSS,Total,mg/L,626,12.437521143112576,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,5,"Copper, Total",Total,mg/L,0.0501,9.953990563417573e-4,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,6,"Lead, Total",Total,mg/L,0.0021,4.172331373887605e-5,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,7,"Zinc, Total",Total,mg/L,0.1374,0.0027298968132007475,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,8,"Copper, Total",Dissolved,mg/L,0.0113,2.2451116440442827e-4,0.019868244637560026
0.06187776796083837,agriculture,Agriculture,K01-12156-4,0.222,0.3188453372859192,0.01943939995624162,0.0135349220629052,NA,0.04007974760230259,0.03661967801020217,OSAGIR,0.03661967801020217,0.5425565083348022,9,"Zinc, Total",Dissolved,mg/L,0.0201,3.993517172149565e-4,0.019868244637560026
27.087286626212116,agriculture,Agriculture,L01-724-4 (L01P03),0.222,0.35329045585238644,0.05846045894423912,0.03673527453298571,NA,0.04434854426749751,0.03661967801020217,OSAGIR,0.03661967801020217,54.17457325242423,1,Fecal coliforms,Total,CFU/100 mL,1340,2658.3662746508076,1.983855428843886
27.087286626212116,agriculture,Agriculture,L01-724-4 (L01P03),0.222,0.35329045585238644,0.05846045894423912,0.03673527453298571,NA,0.04434854426749751,0.03661967801020217,OSAGIR,0.03661967801020217,54.17457325242423,2,TN,Total,mg/L,35.07,69.57380988955508,1.983855428843886
